"sample","Foot flexibility (left) (g)","Foot flexibility (right) (g)","Force raise (left) (s)","Force raise (right) (s)","Forefoot/backfoot dominance (left) ","Forefoot/backfoot dominance (right) ","Gait direction dynamics (left) (g)","Gait direction dynamics (right) (g)","Gait line length (left)","Gait line length (right)","Gait line width (left)","Gait line width (right)","max_force_l(N)","max_force_r(N)","Mean double support time (left) (s)","Mean double support time (right) (s)","Mean double support time (s)","Mean endpoint x of gait line (left) (mm)","Mean endpoint x of gait line (right) (mm)","Mean endpoint y of gait line (left) (mm)","Mean endpoint y of gait line (right) (mm)","Mean fraction of double support (%)","Mean fraction of stance phase (left) (%)","Mean fraction of stance phase (right) (%)","Mean fraction of swing phase (left) (%)","Mean fraction of swing phase (right) (%)","Mean gait cadence (strides per minute)","Mean gait cycle time (s)","Mean stance duration (left) (s)","Mean stance duration (right) (s)","Mean startpoint x of gait line (left) (mm)","Mean startpoint x of gait line (right) (mm)","Mean startpoint y of gait line (left) (mm)","Mean startpoint y of gait line (right) (mm)","Mean step duration (left) (s)","Mean step duration (right) (s)","Mean swing duration (left) (s)","Mean swing duration (right) (s)","mean_force_l(N)","mean_force_r(N)","mean_gaitlength_l(mm)","mean_gaitlength_r(mm)","mean_gaitwidth_l(mm)","mean_gaitwidth_r(mm)","mean_max_force_l(N)","mean_max_force_r(N)","mean_stride_length(m)","Medial-/lateral Dominance (left) ","Medial-/lateral Dominance (right) ","Standard deviation x of gait line endpoint (left) (mm)","Standard deviation x of gait line endpoint (right) (mm)","Standard deviation x of gait line startpoint (left) (mm)","Standard deviation x of gait line startpoint (right) (mm)","Standard deviation y of gait line endpoint (left) (mm)","Standard deviation y of gait line endpoint (right) (mm)","Standard deviation y of gait line startpoint (left) (mm)","Standard deviation y of gait line startpoint (right) (mm)","Stddev of fraction of stance phase (left) (%)","Stddev of fraction of stance phase (right) (%)","Stddev of fraction of swing phase (left) (%)","Stddev of fraction of swing phase (right) (%)","Stddev of stance duration (left) (s)","Stddev of stance duration (right) (s)","Stddev of swing duration (left) (s)","Stddev of swing duration (right) (s)","Takeoff dynamics (left)","Takeoff dynamics (right)","walking_distance(m)","walking_speed(m/s)","Bounding box of COP (AP/ML) (left) (Length) (mm)","Bounding box of COP (AP/ML) (left) (Width) (mm)","Bounding box of COP (AP/ML) (right) (Length) (mm)","Bounding box of COP (AP/ML) (right) (Width) (mm)","COP trace length (left) (m)","COP trace length (right) (m)","Mean COP (AP/ML) (left) (x-direction) (mm)","Mean COP (AP/ML) (left) (y-direction) (mm)","Mean COP (AP/ML) (right) (x-direction) (mm)","Mean COP (AP/ML) (right) (y-direction) (mm)","Mean COP velocity (left) (mm/s)","Mean COP velocity (right) (mm/s)","Standard deviation of COP (AP/ML) (left) (x-direction) (mm)","Standard deviation of COP (AP/ML) (left) (y-direction) (mm)","Standard deviation of COP (AP/ML) (right) (x-direction) (mm)","Standard deviation of COP (AP/ML) (right) (y-direction) (mm)","speed"
"digital_insole_HC_01_00_f",7.4996337890625,6.59733057022095,0.217391304347826,0.257575757575758,0.466654479503632,0.440216258168221,8.2701416015625,8.57893848419189,0.605,0.625,0.107057356076817,0.0816451446290204,13.3526570048309,11.376121463078,0.139615384615385,0.156,0.294833333333333,76.108,71.8,-1.46609670437523,0.173643376695697,29.4171447576287,66.1078985754754,63.306852205845,33.8921014245246,36.693147794155,59.8925251675322,1.00225,0.665615384615385,0.639571428571429,-97.648,-107.7,-5.18407746454193,-2.66270700006241,0.509615384615385,0.496076923076923,0.339916666666667,0.3675,9.2397876836553,7.94979296066253,173.756,179.5,10.5976076780441,8.08205286682673,13.715347363753,11.5258800856733,1.77608469896974,0.468440141528845,0.494076814036816,2.6480311781168,2.70370921716094,1.40523034930229,0.77647856194526,3.44792055431753,3.22990912631154,0.655830868245102,0.921470562312752,0.80099651079252,1.22377148548922,0.80099651079252,1.22377148548922,0.0154448819580541,0.0248386630814436,0.0135120830699374,0.0117224855157371,2.06827731092437,1.66572352465643,20.2610052811288,1.77209747964055,181.496294188499,36.6769262103736,185.925985169411,27.0830176402628,6.4713113300864,5.96002586740277,-1.33423133512431,-5.22418954839785,4.37391896884109,-3.02623947510035,400.824486223995,368.653792750836,53.4301137768918,6.5437764507802,47.3203522516911,3.57500786947025,"fast"
"digital_insole_HC_01_01_f",7.67853355407715,6.74596071243286,0.220588235294118,0.261538461538462,0.464172795414925,0.440619707107544,8.69291496276855,8.47647380828857,0.61,0.62,0.099364111562156,0.080108045484157,13.8913043478261,11.6558900037161,0.127666666666667,0.152583333333333,0.280318181818182,76.108,70.364,0.205493157928189,-1.16361274511061,28.261766188534,65.7326775982067,62.5158980343188,34.2673224017933,37.4841019656812,60.5274869465664,0.991863636363636,0.654083333333333,0.625846153846154,-99.084,-107.7,-4.90781124633205,-2.2682071378823,0.5015,0.4945,0.339272727272727,0.372272727272727,9.15394280973991,7.94738487492111,175.192,178.064,9.83605340353782,7.9298954224767,14.1143321161685,11.7250091995018,1.83443187470017,0.466018199920654,0.487528080120683,1.69355299249291,1.24407655484974,1.84805559888482,0.979510113038123,1.56133757544681,1.76875194530934,0.760996616822667,1.18599552138708,0.626085705634276,0.892250219444063,0.626085705634276,0.892250219444063,0.0174473414084273,0.0264686931293619,0.0089451958573091,0.00724996437722796,2.48170456256588,1.93187977334319,20.7782351964778,1.84947991583354,182.6434445858,31.4267520129681,182.163383221626,36.6505070417374,6.31347240300925,5.28499669317126,-0.0365884270562976,-4.59820941823709,4.44021371833779,-3.56311894019197,436.495603084157,365.870314515144,51.5707114890425,5.34286938282776,44.6733978468334,4.63805351518876,"fast"
"digital_insole_HC_01_10_f",6.577392578125,7.88831663131714,0.215384615384615,0.26984126984127,0.462570771574974,0.443769261240959,8.861083984375,8.35546875,0.62,0.62,0.0820587652543234,0.0796436858241617,14.378421900161,11.3704942400595,0.14275,0.131,0.272790909090909,77.544,71.8,-0.512971104475492,-0.767344549732787,28.6766884240102,65.4523651401604,63.233794395512,34.5476348598396,36.766205604488,63.1006658025073,0.951263636363636,0.6265,0.609153846153846,-100.52,-106.264,-5.04567007734068,-3.42341717487567,0.4955,0.462083333333333,0.3282,0.350272727272727,9.00840937555913,7.75947755420314,178.064,178.064,8.12299717252548,7.88392845973376,14.4267306857639,11.5332585578955,1.91556003314169,0.470969745889306,0.487660830840468,2.57112786099315,1.57782288193703,1.35554938614368,0.998265184834599,1.9072112229839,1.89709872400388,0.67744699168019,1.05006266291253,0.781071093801998,0.508338875071289,0.781071093801998,0.508338875071289,0.015929532322074,0.0218802550746141,0.0116258333034669,0.00909636200098108,3.00856653340948,1.99491459121137,21.2582692138523,2.0137004715793,184.415178894997,49.1864265294373,186.072673201561,45.0050209515542,6.00166698885612,5.38469664016373,4.0809436544145,-3.52876851225295,11.9191969400441,-2.84042473426505,425.83134588166,381.812142109036,52.6584380065161,5.6667626875969,47.3981224031781,4.89980824118333,"fast"
"digital_insole_HC_01_11_f",6.31009912490845,7.75634765625,0.208955223880597,0.253968253968254,0.466875463724136,0.444586396217346,8.62605762481689,8.35569095611572,0.61,0.625,0.0785461229235281,0.0844757522088152,14.2749907097733,11.5808249721293,0.125153846153846,0.1465,0.272810606060606,76.108,71.8,-0.472608754651226,-0.488516066877187,28.2503471377803,65.6937308263605,62.5450374341702,34.3062691736395,37.4549625658298,62.1761876558301,0.965689393939394,0.645,0.607230769230769,-99.084,-107.7,-4.93183912593702,-2.47274277246637,0.488,0.482076923076923,0.331333333333333,0.361545454545455,8.86629505759941,7.79538351883327,175.192,179.5,7.77528070820005,8.36225471115061,14.5589004000604,11.8855440443841,1.93778440214482,0.476341770961881,0.491988352499902,1.15518523789942,2.20139506645501,5.12561444491148,0.975734624639153,4.22487060859799,2.54116912193596,1.13778843022883,1.35046426813118,0.738299487090635,0.663976499888366,0.738299487090635,0.663976499888366,0.0390187331734583,0.0234066192023796,0.00930352382463524,0.010430406915828,3.06019007391763,2.20302559027287,23.1668357656943,2.00663320349818,183.369977450371,28.3495387633145,187.860849785805,40.9039799165726,6.53982632691948,6.07413501309755,-2.18535021840672,-3.25321449203022,2.93746170502464,-2.93873419790168,434.65547832776,403.865359913401,53.7694945708938,5.40901142518033,47.6864452609951,4.50537729996058,"fast"
"digital_insole_HC_01_02_f",8.5543327331543,8.00874423980713,0.220588235294118,0.265625,0.465973347425461,0.441794708371162,9.24129962921143,8.42085456848145,0.615,0.615,0.118848378138926,0.0766348094921533,14.1761426978818,11.5250836120401,0.123384615384615,0.147666666666667,0.271454545454545,76.108,70.364,0.544684170819636,-1.32349065455809,27.7741605432053,65.5988539581806,62.1758044635012,34.4011460418194,37.8241955364988,61.4534328192834,0.977363636363636,0.66,0.613,-100.52,-106.264,-5.32141495037358,-3.26544393290695,0.495583333333333,0.489615384615385,0.335636363636364,0.370272727272727,9.35439118047814,7.84665731650304,176.628,176.628,11.7648009519722,7.58607979162825,14.3723521946709,11.6514308763587,1.93072442165518,0.467301890254021,0.4835409745574,3.02999042719603,1.27247366271913,7.96426228284836,1.06703048255295,5.11531444940716,2.63312565496191,1.89417164001614,1.00394749184139,0.430196444610951,0.861297019914602,0.430196444610951,0.861297019914602,0.0606959636219741,0.0274506550293151,0.010931794556769,0.0140200564717505,2.36245779878461,2.0377135348226,22.936750475903,1.97544122762599,182.214113759994,36.981201338768,185.158470726013,32.7379794347286,6.20317985003618,6.00216982301354,-1.11710289976892,-6.32041723838647,6.73568998389991,-3.50361094802722,387.795689549649,375.487633594842,48.8368679750163,7.24190675754118,44.311681310402,4.63591103631811,"fast"
"digital_insole_HC_01_03_f",8.013427734375,6.0576171875,0.231884057971014,0.261538461538462,0.468677416443825,0.443808123469353,8.60209178924561,7.9153242111206,0.61,0.62,0.0910322279966064,0.0655754012562525,13.7361575622445,11.4368530020704,0.138846153846154,0.153076923076923,0.292458333333333,77.544,70.364,0.402418985163994,-0.903729947106616,29.4779723657133,66.4861925760846,62.9767352433336,33.5138074239154,37.0232647566664,60.5136306092208,0.992125,0.662,0.627928571428571,-97.648,-107.7,-4.57707714447131,-2.28974440058302,0.508923076923077,0.488923076923077,0.332083333333333,0.367583333333333,9.14443390627686,7.85902702465849,175.192,178.064,9.01128024938407,6.49130897035644,13.8944628434481,11.6073157269022,1.80990557196393,0.480585103854537,0.498234429396689,2.22910195291042,2.19395281858742,1.30384042114019,5.59624675065279,4.15147280216217,3.85696039773524,0.636934028882533,1.88198814844713,0.678450602510955,1.09250686689465,0.678450602510955,1.09250686689465,0.0201913919206257,0.0239029713804859,0.0101444429232079,0.00854847289806132,2.27632254750899,1.8171052631579,21.7587739701139,1.82427171169351,183.412807822228,37.1654459258914,187.261789488792,43.6575253458321,7.01501011978867,5.98532553809666,4.05603446923875,-4.00712190347351,8.27041785076039,-2.57257103988103,454.163545240753,387.77619294439,52.6319248243726,6.4640277599688,46.8515812532566,4.49515076162902,"fast"
"digital_insole_HC_01_04_f",7.15117979049683,6.9892578125,0.223880597014925,0.25,0.465746700763702,0.440578058362007,8.39426803588867,8.06172752380371,0.61,0.62,0.106588786174159,0.0857164952211038,13.6735679779158,11.2919254658385,0.130785714285714,0.146230769230769,0.279538461538461,74.672,70.364,-2.58082612009835,-1.64374195593118,28.5183635031914,65.7454983494844,62.7496934253245,34.2545016505157,37.2503065746755,61.2365207274465,0.980205128205128,0.649714285714286,0.616357142857143,-100.52,-107.7,-4.69478599148279,-2.82179179323423,0.498846153846154,0.485571428571429,0.336,0.364666666666667,9.00534055316664,7.82465103853603,175.192,178.064,10.55122394338,8.48507586193706,13.8454106280193,11.4962046157911,1.80564748936733,0.459506336599588,0.485954571515322,5.92282566130161,1.60485064722598,16.7177623271942,1.16823377944529,5.30989519238472,2.7567275152728,1.95337378054857,1.03622128941119,1.00937141058484,1.11261313260096,1.00937141058484,1.11261313260096,0.0246704814112174,0.022445512255419,0.0101526805857824,0.00859586463881842,2.43070083682008,1.9023369375654,22.0009320983738,1.84211185741671,182.471464037895,47.4852978761494,183.131038069725,29.3371145904064,6.36708538193239,5.9978628730449,0.116670069905278,-5.08510495671591,5.34003869609574,-4.52618143642737,405.882921013093,382.151186559089,51.2086434894689,6.44508584120901,46.6568652974982,4.95172742950227,"fast"
"digital_insole_HC_01_05_f",9.383056640625,7.79762935638428,0.212121212121212,0.253968253968254,0.473346874117851,0.445558860898018,9.11787128448486,8.62127113342285,0.595,0.625,0.0820874382549318,0.081079274617306,14.268921095008,11.6462281679673,0.11975,0.157416666666667,0.276504545454546,76.108,73.236,0.405615749322095,0.597639990077803,28.9810813772338,66.411211966733,62.5723582986316,33.588788033267,37.4276417013684,62.9637786768494,0.954086363636364,0.6355,0.604769230769231,-94.776,-106.264,-5.07410798611075,-3.03445964806385,0.478083333333333,0.481166666666667,0.3194,0.358181818181818,9.17936040660225,7.78438145366157,170.884,179.5,8.1258355128557,8.02603739436712,14.438003613753,11.7963584125906,1.89947935426852,0.470945652574301,0.496939545497298,2.17077844403684,1.95709212645888,1.27518359422684,1.13276915736496,3.40250327382237,2.82808346167207,0.759533167020418,1.15948452989571,1.17099900119617,0.841692853135545,1.17099900119617,0.841692853135545,0.0224072160995813,0.0296962930764971,0.0145753216088016,0.0141923038159175,2.52797792426797,2.00845936939246,20.676134663487,1.99088827454668,177.623449397087,38.7707793714106,188.449972820282,39.7200359353423,7.92744390150962,5.75711651819068,8.48644590436925,-3.1980580183174,6.87804655963903,-2.69757608021511,545.779270327685,396.359140667173,54.2157716914287,6.5682765384502,45.5059911375582,4.67615568725507,"fast"
"digital_insole_HC_01_06_f",8.44716835021973,7.80011558532715,0.211267605633803,0.253731343283582,0.47412671148777,0.443654671311378,8.22304725646973,8.57306480407715,0.585,0.62,0.0767075458318383,0.0844888704994738,14.0418679549114,11.8491267186919,0.129833333333333,0.171083333333333,0.303490909090909,74.672,71.8,-1.30703572522761,1.02719841896483,29.6918219415662,67.1148638157644,62.5419347787519,32.8851361842356,37.4580652212481,58.765086803624,1.02213636363636,0.685916666666667,0.643384615384615,-93.34,-106.264,-6.16270175755489,-2.90201641742373,0.514833333333333,0.515333333333333,0.3341,0.384545454545455,9.36962356181008,7.89685275705343,168.012,178.064,7.59327996189367,8.36355329074291,14.3510470920139,12.0713492130888,1.92645601249523,0.461869340389967,0.501829742453992,1.37308670729399,2.23863626308739,1.54739482998848,0.829111856594682,1.5333972450532,4.70388057395816,0.634731202274561,1.10441414127126,0.738860126425554,1.67929108362975,0.738860126425554,1.67929108362975,0.0196996545372981,0.0410563186583399,0.0103870111196629,0.00894796712681039,2.25848225848226,1.95069130062401,22.667925798394,1.88473483678993,174.967906427383,39.1907704731822,189.021335458755,39.782558080554,9.48272208345686,5.60038791431414,5.27280981665997,-5.23068256685739,5.27229894853364,-1.93655900665591,628.577627168027,371.526331054407,53.3572140629747,5.87138325162044,47.5376583070842,4.41651042819167,"fast"
"digital_insole_HC_01_07_f",7.03357839584351,8.26249122619629,0.227272727272727,0.265625,0.470719769597053,0.440784305334091,8.63900947570801,8.2733154296875,0.61,0.62,0.108715555159419,0.0800795117984452,14.0234644582471,11.3788819875776,0.149428571428571,0.132923076923077,0.286689102564103,76.108,70.364,0.00501386055063141,-0.955037460054995,29.4420470891059,66.0424612275996,63.3834636134413,33.9575387724004,36.6165363865587,61.6621009612213,0.973740384615385,0.639857142857143,0.616,-99.084,-107.7,-5.28370792518769,-2.46524717164058,0.509923076923077,0.466571428571429,0.330384615384615,0.356666666666667,9.07823283298827,7.92863821545449,175.192,178.064,10.7617528052309,7.92707087292809,14.1897857223732,11.8171150834088,1.78424431518559,0.455027412623167,0.489227135665715,8.97200213074684,2.0765023034066,22.8076202332973,1.11498990431428,5.66186252173036,3.49429478384554,1.58269099885598,1.01680066335015,1.27493370533289,0.755803363472247,1.27493370533289,0.755803363472247,0.0244565420486951,0.0221327165720149,0.0123134601869315,0.0103708994574027,2.38964577656676,1.90855423081375,21.3402678446261,1.83236142135601,181.913359642029,51.647417704314,192.172988343239,33.6638916049898,6.29434041699963,6.18566661420888,2.47988511533084,-4.43142113173785,9.48879064528948,-3.64644445176126,404.36466767311,398.176157979329,49.5470122032679,6.45504676399476,46.1995385879016,4.66945765448931,"normal"
