ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Injury,speed
digital_insole_HC_01,0.016129418,0.046632171,0.094088148,0.2401303,0.425857637,0.651514811,0.784733512,0.878034578,0.929187691,0.970745676,1.005828698,1.032549221,1.062630896,1.103580621,1.159372195,1.221837616,1.282406942,1.330748097,1.366512497,1.393408857,1.409524297,1.417229757,1.418519591,1.413222311,1.40224182,1.387133364,1.368158734,1.343513978,1.314411145,1.282419266,1.24711755,1.209758614,1.170229582,1.127656551,1.082963614,1.036258599,0.989763115,0.9428148,0.895197566,0.849764375,0.805873034,0.764664113,0.726200117,0.690297733,0.658107581,0.630676029,0.606885943,0.587560288,0.573131496,0.56289018,0.557046633,0.556188503,0.56131904,0.573236971,0.592311934,0.617677248,0.650055888,0.690146335,0.735095846,0.786605088,0.843111521,0.901633378,0.960551293,1.01722497,1.069481782,1.115399609,1.155217547,1.18940403,1.218602743,1.244674243,1.268506788,1.288714455,1.306249535,1.31917026,1.32720552,1.331604363,1.33256454,1.327393712,1.3167987,1.30261006,1.28335232,1.261156693,1.235698969,1.205891432,1.171112934,1.129919993,1.078930975,1.017261056,0.946934006,0.866926718,0.777287509,0.677430568,0.560259404,0.438716232,0.320442811,0.233421704,0.17839376,0.14844617,0.136229263,0.086127363,1,fast
digital_insole_HC_02,0.028955704,0.063074048,0.109060279,0.216788498,0.365995347,0.537164274,0.701413571,0.822864526,0.923929134,1.00352504,1.064786555,1.116917921,1.150616115,1.178782347,1.202007806,1.233929407,1.272038494,1.314668569,1.355290553,1.393251639,1.425122805,1.448008348,1.463180015,1.474158702,1.476640188,1.471896343,1.459717947,1.441362735,1.417874974,1.38798611,1.354013572,1.317125033,1.277874586,1.23759155,1.197443039,1.156087871,1.11263274,1.070998581,1.028977008,0.986074253,0.945637976,0.906172284,0.867988105,0.833163293,0.801574206,0.774947033,0.753959921,0.740300871,0.732135565,0.732622923,0.738326236,0.747736362,0.76176075,0.780103457,0.80655125,0.838709801,0.874889657,0.916138243,0.963433751,1.011648651,1.061169535,1.11090784,1.158493103,1.204967684,1.251421762,1.293221273,1.331617773,1.366130528,1.397256926,1.428301805,1.456273946,1.480019285,1.501481207,1.517634145,1.525872132,1.529175667,1.531737364,1.528947229,1.521452455,1.508785601,1.492490342,1.471735409,1.446187059,1.415377276,1.374644404,1.324382178,1.264768186,1.189102972,1.102568684,1.001162055,0.897724954,0.792186429,0.691993605,0.597040798,0.511049339,0.428361172,0.35463609,0.286163791,0.225349971,0.121904315,0,fast
digital_insole_HC_03,0.006927641,0.018187267,0.057205346,0.120349898,0.250267448,0.419073064,0.643991183,0.839673085,1.003593095,1.144973985,1.270881765,1.373555247,1.461845866,1.506309994,1.529926344,1.532239285,1.531029137,1.537785503,1.547995934,1.56138894,1.573385704,1.58210667,1.5866811,1.584628453,1.577252634,1.563081456,1.544844321,1.518953566,1.485631484,1.445487552,1.40073807,1.350430716,1.293116215,1.232530075,1.170400794,1.108600309,1.047676282,0.987754466,0.929854487,0.874579925,0.824517,0.776707379,0.732006987,0.689281995,0.650853154,0.617403755,0.590694492,0.570350866,0.556405666,0.547616297,0.543845907,0.546235281,0.555596154,0.571184829,0.593064883,0.624867765,0.664526668,0.71028266,0.757718335,0.806616724,0.85450584,0.900544643,0.946089521,0.992084648,1.038464155,1.085116918,1.131764469,1.177958083,1.222080668,1.262507701,1.299932915,1.33399792,1.364029367,1.391260143,1.413986053,1.432298831,1.445110856,1.454350627,1.459008751,1.459828887,1.453958464,1.443695803,1.425742886,1.403221602,1.368794378,1.326401177,1.26370653,1.188901679,1.089638563,0.983349261,0.86621004,0.748024029,0.634229528,0.532275335,0.443689824,0.373257986,0.31447781,0.25449626,0.193723285,0.099585511,1,fast
digital_insole_HC_04,0.010603096,0.03112848,0.063325951,0.26092505,0.514457876,0.828328037,0.967172622,1.097726811,1.246714093,1.342413156,1.415418679,1.464078506,1.518741204,1.575383679,1.634115771,1.6888011,1.735754876,1.766047434,1.787523367,1.802136005,1.809275297,1.813343007,1.814252223,1.809018226,1.798523486,1.783091041,1.759873634,1.725666268,1.681486994,1.627127417,1.563505819,1.493082509,1.418098689,1.341833978,1.267348135,1.198761979,1.137115475,1.082005029,1.035085736,0.994093239,0.957787263,0.926166717,0.900413381,0.878660262,0.860450616,0.846117286,0.834618181,0.826725991,0.822256624,0.821216646,0.82358523,0.828747408,0.837355839,0.850257998,0.866906155,0.885967092,0.907403141,0.929894051,0.952499336,0.974734651,0.996430552,1.018005318,1.040237188,1.063272352,1.087018829,1.111261756,1.136329825,1.161212058,1.186740309,1.211978985,1.234969301,1.256927559,1.277211068,1.296252527,1.312811068,1.325315044,1.337289416,1.346791427,1.351730771,1.352975725,1.350803806,1.343931999,1.332107252,1.313250752,1.285381007,1.24741657,1.191960184,1.113468955,1.017477001,0.897545806,0.780356857,0.667308175,0.571235261,0.491439119,0.423649121,0.369539259,0.312713081,0.253282729,0.18945664,0.10447129,1,fast
digital_insole_HC_05,0.065853307,0.159317745,0.260812242,0.348498337,0.391079202,0.429803545,0.484632351,0.531463093,0.556574958,0.588911386,0.632986938,0.668871027,0.714124283,0.749508267,0.771804287,0.799634333,0.826081018,0.844729293,0.870802324,0.900950683,0.91593416,0.931605802,0.939273326,0.962698012,0.98489495,1.000044854,1.011683916,1.037093252,1.071626831,1.11570738,1.148154711,1.177289148,1.212064493,1.247203761,1.271088733,1.308106019,1.334235521,1.359948762,1.378418113,1.387304102,1.393792584,1.401258458,1.405649262,1.404572095,1.394757999,1.383369625,1.37222188,1.360472067,1.353934477,1.33949191,1.3297811,1.327027299,1.327359284,1.323624431,1.317287159,1.309295834,1.307416204,1.304793548,1.302042992,1.296630378,1.29736694,1.298457804,1.300544307,1.307918766,1.314899269,1.329207062,1.346902396,1.367381127,1.386508019,1.410317049,1.42898326,1.446696185,1.471111012,1.483919144,1.49199028,1.489361495,1.493785799,1.510287256,1.510574968,1.501585864,1.489486954,1.470948636,1.448745384,1.435630943,1.412950341,1.376718251,1.333531629,1.283900426,1.233757566,1.164143778,1.078860582,0.995988942,0.9035557,0.805912725,0.678574333,0.525351658,0.40880515,0.306507716,0.226196688,0.116919798,1,fast
digital_insole_HC_06,0.009739422,0.023471519,0.061304906,0.12300529,0.245545911,0.415252018,0.64784556,0.864358908,1.069940858,1.230016601,1.370245485,1.432864966,1.476220285,1.487172379,1.493949768,1.498305305,1.502786874,1.507686264,1.511714976,1.515374168,1.517043146,1.516366995,1.510999688,1.502785932,1.488230557,1.469997108,1.445311229,1.416465481,1.378747328,1.337862238,1.291054196,1.242280094,1.191897051,1.141032405,1.090484622,1.041085332,0.992917092,0.947215024,0.904729716,0.866848872,0.831873711,0.800065581,0.769714871,0.74371478,0.720644808,0.701758306,0.686393687,0.676553221,0.671687511,0.671731221,0.675399498,0.683240651,0.695912977,0.712582326,0.73385744,0.758901478,0.790342574,0.825199434,0.864222513,0.904503464,0.941639477,0.976639011,1.007484357,1.035447274,1.061352924,1.087185511,1.112780646,1.136860372,1.159515162,1.179564119,1.198109514,1.21504126,1.230647265,1.24331793,1.253834327,1.259504623,1.26312966,1.262618481,1.2595257,1.251996932,1.241572353,1.22818449,1.210808512,1.190647756,1.165394635,1.137762245,1.098554581,1.055900113,0.999091309,0.937745175,0.85966078,0.773695274,0.671020468,0.565490907,0.454992225,0.359891308,0.276381797,0.214609109,0.161424048,0.082800498,1,fast
digital_insole_HC_07,0.041573911,0.094110534,0.158332496,0.244110002,0.344721878,0.461526529,0.615133742,0.770800906,0.922617678,1.034135343,1.117225207,1.176230952,1.218717698,1.254925332,1.287562659,1.318671347,1.350330155,1.381518447,1.412270443,1.443044005,1.471626692,1.493189467,1.508214677,1.519493806,1.525486315,1.525379887,1.519417546,1.509377708,1.493539776,1.47017911,1.442049706,1.410594083,1.374845426,1.334556107,1.292438655,1.249273746,1.205299991,1.161406425,1.117569005,1.076494285,1.039353471,1.00467763,0.972893544,0.943226708,0.916975856,0.896218175,0.879123373,0.86505414,0.855076458,0.847585364,0.84357823,0.843478264,0.846956855,0.854047926,0.866263602,0.884788822,0.907455382,0.933506021,0.962226863,0.993755627,1.024750802,1.056799724,1.088034423,1.11689935,1.144451863,1.170939268,1.197442587,1.224370846,1.250960157,1.275363989,1.298919639,1.322175806,1.341261818,1.357609577,1.370191922,1.379383866,1.385476598,1.388329811,1.388490025,1.385599167,1.378364017,1.365183411,1.346049484,1.31882602,1.280269831,1.22964296,1.16441807,1.090183094,1.007866922,0.919400395,0.829698666,0.736383963,0.644106403,0.557806243,0.478353365,0.412987478,0.354362669,0.301951947,0.255518394,0.154811971,0,fast
digital_insole_HC_08,0.13788875,0.275114142,0.299766943,0.312321836,0.41833817,0.550865183,0.77020199,1.027606251,1.226626208,1.379639367,1.492061689,1.568749981,1.624984783,1.642633206,1.64757953,1.650822837,1.659766007,1.671200096,1.684638272,1.701521446,1.720006142,1.736780925,1.745547985,1.747843894,1.737576853,1.718062057,1.691846287,1.658188227,1.616408173,1.566360633,1.51080395,1.447639003,1.38220083,1.314692659,1.247288577,1.181669775,1.116650544,1.052281442,0.98912747,0.931487144,0.881248369,0.83577121,0.794123473,0.756550453,0.725718393,0.698289365,0.679389693,0.665061295,0.655386215,0.649754909,0.649718699,0.65603631,0.667636052,0.683926968,0.702336061,0.722287376,0.745484573,0.777277299,0.813532392,0.851935015,0.893365082,0.943418551,1.000299718,1.056196867,1.108363063,1.159415628,1.211639848,1.264354623,1.313889901,1.361245199,1.404825208,1.445416699,1.480815398,1.511287474,1.536924978,1.556722725,1.569596642,1.5730944,1.571393811,1.565679186,1.55637596,1.538254754,1.51224226,1.482361137,1.447525414,1.402197078,1.33869749,1.265851944,1.182637871,1.091330796,0.99175085,0.886674034,0.790248041,0.702937546,0.622977697,0.555567736,0.492628365,0.446146856,0.384191753,0.192493862,1,fast
digital_insole_HC_09,0.004540414,0.015315969,0.064554481,0.135165943,0.2625741,0.413043297,0.598471928,0.775605666,0.943426842,1.089374889,1.224764223,1.310541555,1.378201918,1.410888346,1.434620775,1.452333264,1.470854474,1.490942927,1.510058129,1.527915172,1.540184136,1.546140065,1.545448114,1.539698678,1.527887571,1.511893817,1.49214196,1.467437843,1.436323603,1.400175208,1.359031793,1.315057825,1.268659931,1.219743921,1.169113772,1.117189203,1.06620321,1.017710736,0.971021292,0.927131715,0.887690721,0.854079665,0.826160459,0.804083043,0.786620649,0.774320202,0.765643705,0.761206685,0.760502108,0.763742744,0.770004973,0.780234505,0.795982017,0.815519072,0.838659817,0.86684106,0.901045742,0.938162546,0.977169171,1.017643091,1.05829598,1.099186639,1.138424756,1.174719793,1.209142349,1.242373684,1.276660396,1.310919996,1.341734249,1.369761893,1.395700138,1.419391945,1.440715322,1.459792054,1.475297264,1.487400546,1.497898376,1.504218545,1.505737814,1.502373599,1.494810383,1.482237514,1.463826831,1.441565644,1.408843887,1.368746797,1.311585455,1.244265742,1.150214451,1.05046885,0.939499276,0.827396125,0.714020698,0.602605185,0.494420945,0.397838121,0.309084356,0.234839392,0.166122035,0.0842141,0,fast
digital_insole_HC_10,0.147239397,0.268842535,0.298602416,0.378044509,0.522638533,0.706102204,0.910609312,1.06839229,1.206023832,1.299229765,1.37724954,1.424124121,1.462495892,1.489957857,1.513023601,1.533192333,1.555933713,1.578126413,1.594052643,1.607531404,1.611939456,1.613279962,1.611833227,1.607497602,1.597591418,1.583432897,1.566024098,1.541362649,1.511847253,1.475753863,1.437430892,1.394572172,1.347939216,1.298052699,1.24874469,1.19964149,1.152487084,1.108975809,1.071807965,1.036840108,1.004799575,0.975691445,0.949944139,0.927328437,0.906377665,0.889008702,0.877243901,0.871235633,0.869373685,0.87187471,0.877087516,0.885774835,0.90077813,0.922018866,0.948432787,0.978685955,1.012742837,1.049614621,1.088916999,1.130343315,1.173426788,1.215669979,1.255943163,1.296196963,1.336923296,1.376302069,1.41451728,1.452584322,1.488074425,1.520146294,1.545170411,1.565472756,1.576995066,1.583441362,1.583261164,1.579093477,1.569538982,1.555690213,1.538701294,1.519415471,1.498415604,1.472166369,1.444780687,1.411464773,1.369761035,1.317266897,1.252009516,1.171367741,1.06889448,0.954086739,0.836851845,0.71834763,0.623566883,0.53809445,0.478345719,0.426643121,0.385808041,0.358117944,0.340530606,0.188961655,1,fast
