ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Injury,speed
digital_insole_HC_01,0.015886562,0.067017278,0.160734219,0.292334772,0.426236017,0.53546416,0.620999552,0.683245829,0.723565018,0.744916006,0.761612628,0.783386688,0.818828213,0.869246127,0.92601206,0.981072116,1.031299421,1.071259961,1.10461899,1.132402852,1.155060223,1.172913101,1.184961796,1.191273308,1.1943917,1.193658077,1.190330586,1.183669792,1.173964851,1.161648988,1.147544164,1.130866144,1.112152377,1.091918242,1.07059481,1.049842804,1.029463732,1.00755784,0.988789939,0.970567293,0.953273087,0.93670302,0.922449316,0.910292021,0.900529517,0.893170463,0.887330177,0.883820569,0.882822106,0.883047182,0.884826314,0.889328968,0.895612765,0.902764827,0.914120068,0.928333124,0.944949919,0.963857852,0.9866509,1.011379928,1.039611316,1.070170937,1.100121502,1.130487059,1.160565535,1.190169293,1.216203432,1.235058517,1.249618212,1.260095685,1.267192003,1.272799025,1.27881863,1.282806638,1.286387131,1.288462258,1.287375757,1.282092165,1.272920455,1.259594672,1.240365904,1.217424008,1.19125699,1.163434271,1.133887304,1.101661619,1.068171496,1.031348745,0.986939255,0.933131662,0.871132252,0.799300921,0.719545026,0.626456215,0.519897341,0.40265837,0.287573114,0.194312436,0.133570216,0.082957001,1,normal
digital_insole_HC_02,0.01772979,0.056911543,0.118408495,0.232742231,0.355414785,0.483848764,0.588102685,0.684773848,0.773110206,0.843291859,0.900928927,0.948376659,0.982253912,1.011157691,1.038164834,1.068934439,1.102562178,1.137160291,1.170351219,1.202487197,1.232704088,1.257618428,1.278652482,1.294800174,1.301715302,1.303525589,1.30077509,1.292572681,1.282177024,1.268458336,1.252282495,1.234205458,1.213850974,1.190577202,1.166036755,1.142428539,1.119228054,1.095867285,1.074024181,1.053136261,1.033771861,1.017037728,1.001379897,0.989524542,0.981577312,0.976328411,0.974515864,0.975492817,0.978480221,0.98670962,0.996430905,1.005360628,1.020221858,1.037147611,1.056037669,1.079598603,1.105092605,1.131247473,1.158868483,1.185836572,1.213217203,1.240567429,1.265308347,1.287443008,1.307371447,1.324023353,1.336870289,1.346417852,1.354507021,1.360619825,1.365494635,1.371645478,1.377059745,1.381454485,1.384469113,1.386934777,1.388727521,1.389818821,1.390069168,1.388437413,1.383833837,1.376993495,1.367821518,1.355060011,1.336301428,1.310720951,1.274465277,1.228940787,1.171946448,1.09700477,1.011812443,0.914646829,0.806865587,0.700118053,0.595359807,0.501461453,0.411408815,0.325612779,0.247092534,0.13883668,0,normal
digital_insole_HC_03,0.019279737,0.060259837,0.123878734,0.236255749,0.360029594,0.491824713,0.624099059,0.747672763,0.862155795,0.959462376,1.043008017,1.113314875,1.165614224,1.198629804,1.223228452,1.246434069,1.267211203,1.285082115,1.300009615,1.31066943,1.317513433,1.320821557,1.319546623,1.31573859,1.309940115,1.302044166,1.290569868,1.275230474,1.25533303,1.231245285,1.204533351,1.173965544,1.140524027,1.104578344,1.067633794,1.031662114,0.995503067,0.960112707,0.927227022,0.895525874,0.866504748,0.840639556,0.818524115,0.799497912,0.785023148,0.77370857,0.764939535,0.758326876,0.755378955,0.756032133,0.758840158,0.765967294,0.776925754,0.791199822,0.809646465,0.832280944,0.857611083,0.885444146,0.914592597,0.944769377,0.97452452,1.005162211,1.035879018,1.066375904,1.096839905,1.128270576,1.159604486,1.189766952,1.219446236,1.249072814,1.276185219,1.301203834,1.323499251,1.343868454,1.360855626,1.37419911,1.384650599,1.392172793,1.397337731,1.39837393,1.396176111,1.389997853,1.379184106,1.363842706,1.343039054,1.314267259,1.27627076,1.229040416,1.165111481,1.080222755,0.982702144,0.870404681,0.756361486,0.644692245,0.540015604,0.453553915,0.376923495,0.310856153,0.247196108,0.145327258,1,normal
digital_insole_HC_04,0.013821916,0.044712318,0.12056657,0.320367234,0.541871926,0.722852859,0.841141402,0.969236616,1.059737461,1.118400833,1.150517041,1.184563003,1.224947405,1.274325558,1.328598531,1.380566479,1.426263253,1.460840866,1.486723579,1.507734293,1.526049144,1.541493553,1.555258063,1.564242328,1.565498495,1.561106304,1.549624945,1.528542763,1.499147197,1.459972419,1.412943423,1.358724874,1.300595593,1.244265574,1.192911375,1.147758183,1.109032877,1.07641371,1.049569346,1.026525928,1.00663376,0.990779908,0.978106196,0.968970057,0.962807966,0.958744978,0.957186122,0.957642378,0.960014946,0.964548957,0.969238649,0.976170357,0.985990167,0.997261015,1.010240417,1.024946648,1.040325262,1.057693678,1.076178998,1.094252293,1.111251877,1.126316092,1.140303284,1.15325419,1.165377486,1.176689164,1.186417817,1.196561957,1.207242116,1.218896217,1.230683262,1.242562461,1.253502108,1.262125374,1.268019899,1.27250048,1.275722252,1.275229814,1.271083533,1.264455866,1.254614668,1.242284142,1.226605295,1.207225802,1.18235655,1.15076366,1.110303734,1.05377398,0.978566475,0.886983104,0.77984529,0.676675552,0.581576916,0.497191893,0.433476827,0.378587896,0.328278769,0.276075188,0.214882953,0.126607746,1,normal
digital_insole_HC_05,0.03332105,0.084833249,0.158430865,0.274446119,0.388988359,0.498900266,0.599625403,0.685214868,0.764080997,0.828283302,0.894420655,0.957785669,1.018685238,1.065182561,1.109076718,1.150576079,1.185020068,1.209520804,1.229237284,1.247795623,1.263576048,1.276274975,1.286336204,1.293707983,1.297365483,1.298375626,1.297060698,1.293113049,1.288574486,1.283327985,1.275637639,1.265049886,1.253663737,1.240909966,1.226722732,1.212117077,1.19974839,1.189945303,1.180203706,1.17096695,1.162003689,1.154048167,1.148756083,1.143554513,1.139823964,1.139231038,1.139646217,1.141818014,1.14509913,1.151823965,1.159358504,1.167388647,1.177989259,1.191938766,1.208712449,1.225768492,1.244274683,1.262888347,1.279358165,1.294298222,1.30818352,1.319276166,1.327591576,1.335988533,1.343432759,1.35111168,1.358905112,1.365460667,1.370065092,1.373609576,1.375330319,1.379899506,1.384317655,1.388141877,1.388855637,1.387132419,1.380715569,1.372019921,1.362478512,1.349901773,1.332382766,1.311743469,1.288113421,1.256670525,1.217348385,1.17126559,1.122325324,1.070272021,1.003871836,0.929654453,0.853207271,0.772291489,0.691450045,0.611155253,0.527273216,0.448885705,0.370890764,0.29287062,0.212058501,0.116934478,1,normal
digital_insole_HC_06,0.02063636,0.050337277,0.096153428,0.178523682,0.28103939,0.448872652,0.624579617,0.80956504,0.962080025,1.096659157,1.181018717,1.236851791,1.268478326,1.290704233,1.309116759,1.323514095,1.337587228,1.352215922,1.365985108,1.377663057,1.386379539,1.391368874,1.393901952,1.391321039,1.38432748,1.372645411,1.356340815,1.335519763,1.309677439,1.281484702,1.25008755,1.216167502,1.181647847,1.148309774,1.116792016,1.086773014,1.058308402,1.031984694,1.009830386,0.989106606,0.969480704,0.953391945,0.940319128,0.929340456,0.921006882,0.916230737,0.913825867,0.913182323,0.916123334,0.921438747,0.92749818,0.936052378,0.947550095,0.96172631,0.977689607,0.996087128,1.016361086,1.038347527,1.059815191,1.080369146,1.100059837,1.118001798,1.135631788,1.151678021,1.166782989,1.181744288,1.195486563,1.208289901,1.221932584,1.235029147,1.247052716,1.258055859,1.268057304,1.276102477,1.282725487,1.286577098,1.288757877,1.28930294,1.284286766,1.276472183,1.265352316,1.250006774,1.231930372,1.211801276,1.189338775,1.162953345,1.12789508,1.088195768,1.038504491,0.979814808,0.911344368,0.82689008,0.735064093,0.626156586,0.518044727,0.410689756,0.324828482,0.247642984,0.187895837,0.101545427,1,normal
digital_insole_HC_07,0.054797293,0.108582235,0.16740406,0.24135436,0.338809698,0.458864374,0.596957023,0.731751359,0.843520551,0.93485713,1.005081216,1.053450319,1.092651392,1.125905422,1.15778212,1.191535971,1.226417074,1.260755974,1.293940728,1.325668803,1.353425915,1.373648118,1.389648855,1.400808231,1.408563834,1.412908101,1.413128358,1.407873685,1.397570786,1.383491451,1.365420419,1.341907344,1.315453646,1.286496062,1.256992646,1.224813136,1.191486922,1.159271497,1.129277744,1.098269391,1.068837597,1.040628596,1.016245482,0.994900901,0.976076079,0.960086737,0.947198647,0.939254933,0.934055628,0.930359286,0.93182205,0.93642002,0.942560209,0.952393352,0.965445942,0.982160924,1.000358333,1.020233492,1.041311188,1.061774326,1.081735142,1.101411334,1.119998658,1.138180798,1.154912922,1.171927296,1.189413601,1.20668999,1.224664638,1.242252124,1.258988412,1.275705768,1.290419605,1.30378485,1.314033422,1.321694497,1.32829764,1.332221132,1.333183075,1.330334249,1.321747647,1.30802421,1.291165412,1.267299014,1.233036368,1.18824031,1.133151992,1.068093945,0.990804686,0.906916276,0.819772071,0.733958041,0.64959454,0.571124775,0.500039034,0.436332361,0.378602389,0.324523637,0.271501752,0.174146466,0,normal
digital_insole_HC_08,0.094182981,0.170775476,0.214709348,0.308523304,0.426275272,0.574371649,0.71534991,0.84452345,0.941800965,1.025201897,1.083509366,1.136042875,1.181166782,1.215018306,1.243800752,1.263687571,1.283167794,1.303789596,1.323911995,1.34150185,1.352783101,1.35931604,1.362395155,1.360022852,1.353264453,1.341771619,1.32632323,1.30480469,1.277019845,1.246271856,1.213670446,1.18110699,1.147344799,1.112651599,1.079109359,1.046781468,1.016163307,0.986545205,0.957664936,0.931026384,0.905684552,0.881654213,0.860770523,0.841323574,0.823210244,0.807683008,0.794960902,0.784436113,0.775068348,0.766876539,0.761733337,0.759367007,0.759986218,0.763489802,0.769103949,0.779145288,0.792095967,0.809816884,0.833133227,0.861233625,0.893747004,0.932625949,0.975661777,1.020739697,1.065936074,1.110050499,1.151496866,1.188390178,1.220696617,1.249113731,1.273497717,1.29233188,1.308236186,1.320342114,1.329012701,1.336081362,1.340304071,1.341817649,1.337904559,1.326828074,1.310143936,1.283958713,1.251414165,1.210804363,1.168065813,1.123597802,1.072423303,1.015952243,0.950786886,0.878313561,0.800990223,0.719604173,0.63933692,0.563174733,0.492660653,0.425607179,0.367752315,0.315343856,0.273745405,0.156981597,1,normal
digital_insole_HC_09,0.022673542,0.063446435,0.131419435,0.221986014,0.324927829,0.455827535,0.603886369,0.759412513,0.887651431,0.996150334,1.078684984,1.138873724,1.18868312,1.225456194,1.260734938,1.294756129,1.330233171,1.363356448,1.393467009,1.417529552,1.436856956,1.450168474,1.458728879,1.463383231,1.462275835,1.457453029,1.450132376,1.437466325,1.420300788,1.399659239,1.377348594,1.352108318,1.324965444,1.296546912,1.266695865,1.234964682,1.202017025,1.169983996,1.139977337,1.111385807,1.084899875,1.06214714,1.042610318,1.027014691,1.01611922,1.008492821,1.004813311,1.004278976,1.005534762,1.010452645,1.016329525,1.023496665,1.033394713,1.045919936,1.061054089,1.07815372,1.097927529,1.11972724,1.143303724,1.168274054,1.194883983,1.222176346,1.247877446,1.272702312,1.296911408,1.321449223,1.345497666,1.367812825,1.389971991,1.412414496,1.432884128,1.450512932,1.465941018,1.478899351,1.488923896,1.496480262,1.502274471,1.504774875,1.505213251,1.502354819,1.495714324,1.485655244,1.470829534,1.451681461,1.426596647,1.392526811,1.350012991,1.294987144,1.220057696,1.133930869,1.029578241,0.919150033,0.804713137,0.688354381,0.574199398,0.463897916,0.36975702,0.282642198,0.208271401,0.111622773,0,normal
digital_insole_HC_10,0.088629094,0.16454744,0.228989554,0.352376485,0.489489477,0.637245537,0.776076405,0.890410639,0.975929889,1.040031749,1.097515172,1.150741148,1.205173703,1.259422795,1.31386231,1.361892493,1.403645178,1.437741176,1.46584802,1.488947956,1.504672282,1.515622456,1.523344458,1.528688885,1.531059575,1.529764146,1.523477449,1.512987846,1.498649473,1.478888252,1.454943089,1.427656949,1.396364697,1.361409914,1.324365749,1.285461619,1.245759192,1.207897127,1.172125171,1.138986765,1.10970191,1.08482977,1.062548918,1.043413434,1.027709654,1.014403864,1.00395488,0.995532585,0.989442162,0.986113469,0.985049417,0.98733434,0.994493527,1.005191279,1.018953095,1.03745379,1.059304692,1.082981043,1.10973891,1.138403984,1.168149566,1.198619599,1.229681416,1.26139969,1.293970334,1.326202523,1.358539444,1.390841679,1.421522248,1.450720927,1.478644049,1.503734656,1.524559781,1.542386375,1.555515067,1.562214361,1.563149356,1.5585791,1.547749236,1.531620607,1.511387802,1.486679934,1.459293935,1.4257472,1.386532712,1.342006065,1.289392202,1.226178522,1.149493683,1.056093072,0.948111819,0.830829389,0.709807472,0.598308061,0.495861145,0.414455811,0.34840166,0.295736519,0.256527832,0.157574976,1,normal
