ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,speed
digital_insole_HC_01,0.082270105,0.155517766,0.245555095,0.343411667,0.430190076,0.504490456,0.560719214,0.596480434,0.621609443,0.650474167,0.68982104,0.73792374,0.793130809,0.845648972,0.899154642,0.948879139,0.992611319,1.029766693,1.060715268,1.086913461,1.106627894,1.121284923,1.13298987,1.142217386,1.149533819,1.154334078,1.157965183,1.157871287,1.157626334,1.155510564,1.15159409,1.147834109,1.144022334,1.139082459,1.13482401,1.129570317,1.12705839,1.124741625,1.123406787,1.123304672,1.125177205,1.127617868,1.131063536,1.136892293,1.143521462,1.149671308,1.158112074,1.166206213,1.174320803,1.182876073,1.189677246,1.195661664,1.204163391,1.210334032,1.216275646,1.221090562,1.226399834,1.231599894,1.235609142,1.241537074,1.247007597,1.252400686,1.258515264,1.267016257,1.275037785,1.283007602,1.291638149,1.300364652,1.306756994,1.31225609,1.314741074,1.315891231,1.315230914,1.314506444,1.311130679,1.304589598,1.295999101,1.283145608,1.266326674,1.245703356,1.221095905,1.193264285,1.161889392,1.129844492,1.096032619,1.060117332,1.021308438,0.981084294,0.934831185,0.88138316,0.82102083,0.751311982,0.676110474,0.59370824,0.504903478,0.410888679,0.318902646,0.233316129,0.16770023,0.130721335,slow
digital_insole_HC_02,0.208170376,0.28340076,0.361316912,0.452863824,0.5455001,0.63530936,0.719165343,0.790259743,0.855005311,0.913464877,0.963710272,1.005867202,1.044170415,1.077837816,1.114366615,1.15866691,1.202650254,1.241568733,1.28046392,1.318593439,1.35218686,1.381516954,1.407155765,1.428741819,1.445870338,1.461454874,1.474373611,1.483102602,1.490877756,1.496024446,1.498470366,1.498308349,1.496119754,1.492863774,1.490906159,1.487082308,1.48285236,1.479648775,1.476318485,1.474119269,1.473229408,1.472936644,1.474983354,1.479322965,1.484514215,1.489889928,1.496883662,1.506118912,1.514560571,1.524763149,1.536188568,1.547039301,1.560030772,1.573503626,1.5886356,1.602273612,1.616933311,1.629597147,1.641346348,1.652765546,1.662445479,1.669172057,1.674113459,1.675347568,1.674249512,1.66807586,1.660342652,1.650160414,1.637092281,1.622103506,1.607937687,1.593286446,1.578234932,1.561257135,1.544180838,1.525745791,1.503852207,1.48173115,1.453397986,1.424936183,1.39362343,1.3577177,1.320001528,1.279853563,1.232387872,1.17759811,1.118884363,1.058105865,0.987252361,0.912271831,0.833665034,0.753708534,0.673502062,0.597710638,0.525001978,0.460660516,0.405100426,0.357989453,0.319307425,0.264459689,slow
digital_insole_HC_03,0.046981905,0.103023484,0.174725031,0.264760611,0.359401845,0.471580538,0.588792575,0.704306917,0.81440541,0.910103746,0.98539339,1.041738406,1.076406435,1.108484074,1.140487271,1.172881793,1.202854836,1.227050836,1.248539833,1.265523249,1.27951039,1.290186164,1.297989624,1.304111601,1.308066756,1.309613924,1.306667784,1.299269202,1.285718188,1.265957997,1.242217973,1.214160756,1.182595841,1.152542195,1.124891547,1.097691085,1.072665153,1.049108215,1.028203524,1.009470491,0.993862664,0.98028025,0.968288571,0.958037912,0.950698719,0.946048845,0.943088953,0.942974961,0.944984965,0.94997821,0.955189603,0.962702334,0.974079829,0.987039806,1.00116321,1.017853937,1.035364214,1.053204055,1.072293757,1.091751903,1.112320771,1.130993087,1.15094902,1.171096809,1.190403813,1.210383682,1.231045932,1.252524329,1.274705398,1.295147507,1.312769857,1.330549721,1.345791623,1.359079865,1.369351582,1.375097724,1.37983938,1.381643382,1.380014351,1.375620907,1.36732532,1.35519837,1.339262937,1.318953185,1.293490845,1.261815802,1.223419276,1.175922827,1.113850377,1.032933656,0.941829881,0.840670454,0.735335223,0.630815042,0.534090672,0.449041693,0.381744602,0.323420265,0.267142422,0.17469165,slow
digital_insole_HC_04,0.037761253,0.090606491,0.181227509,0.31368666,0.441132648,0.553871648,0.663941846,0.764110923,0.838704138,0.894325499,0.942457634,0.987924441,1.034268783,1.084831001,1.136966623,1.18708076,1.234738791,1.277187093,1.314748397,1.349626101,1.381350412,1.410744896,1.435038793,1.454563623,1.468010501,1.473350095,1.47093829,1.461125647,1.442766664,1.416840045,1.386265944,1.352915697,1.319300932,1.288513243,1.262796369,1.240813401,1.222899711,1.208340825,1.198428514,1.190455618,1.183941877,1.17755893,1.171666856,1.166577551,1.162519383,1.159921192,1.157581916,1.156769782,1.158415461,1.161967654,1.16557453,1.170004867,1.177156791,1.185423155,1.196641546,1.208057173,1.219736047,1.232631973,1.24492654,1.256363177,1.266366757,1.276171107,1.283998148,1.290564907,1.295112101,1.298572297,1.300962013,1.301750658,1.3025487,1.303141652,1.30345615,1.303757606,1.305750973,1.306931175,1.306182825,1.303209249,1.297634915,1.288711842,1.276920783,1.262123073,1.243297297,1.220937833,1.194997506,1.16631672,1.132072018,1.091079039,1.0407283,0.976857172,0.895532173,0.799682027,0.699767083,0.604604195,0.521518096,0.452944323,0.397545789,0.351831879,0.30984011,0.265936387,0.220728496,0.146569615,slow
digital_insole_HC_05,0.118539273,0.213335506,0.294204173,0.363104008,0.428451597,0.488167422,0.546999106,0.60133609,0.646889117,0.692017908,0.738547628,0.792074123,0.856644085,0.914774292,0.960962565,1.007336615,1.050686035,1.084716278,1.117318952,1.155201583,1.185344435,1.21279157,1.238362923,1.256728498,1.285777754,1.302746179,1.325824034,1.345390565,1.357107873,1.368817635,1.380870338,1.384470592,1.390816519,1.399504987,1.40700774,1.417860095,1.421664391,1.427850475,1.432878035,1.437662811,1.442334174,1.446740596,1.450178005,1.455191012,1.459475596,1.462609572,1.467411788,1.472657674,1.477128206,1.481538538,1.483645118,1.486388529,1.495209399,1.500436221,1.502888785,1.506856818,1.511563712,1.51179524,1.510364392,1.504927456,1.501422291,1.494507059,1.482818633,1.467198481,1.45461773,1.442843063,1.440574649,1.432496047,1.424849519,1.411933594,1.396399758,1.38036209,1.362599942,1.346678404,1.32896462,1.306151887,1.28670411,1.265981284,1.239249241,1.21959625,1.198415246,1.173846185,1.136083015,1.109756072,1.076944781,1.04053147,1.004499011,0.964636954,0.90766233,0.854333503,0.808660668,0.757196203,0.688902896,0.63147783,0.568730659,0.499989916,0.431170688,0.373564003,0.303997919,0.19107101,slow
digital_insole_HC_06,0.038976044,0.079859022,0.124983745,0.198893724,0.301710979,0.426497214,0.572560598,0.711555222,0.835706114,0.921933667,0.977175705,1.015994343,1.043174846,1.063732394,1.082656439,1.101395955,1.121195719,1.141752657,1.161139153,1.178285473,1.193940662,1.20644623,1.216723506,1.224420578,1.229946453,1.2337546,1.233607041,1.228990458,1.219713787,1.206358052,1.190176835,1.172458651,1.153870411,1.13549426,1.117939283,1.103560057,1.089788279,1.077270657,1.068018309,1.05998681,1.052971555,1.048716182,1.046108723,1.045020567,1.043110119,1.042532168,1.044202554,1.047125484,1.0517296,1.059387222,1.067648511,1.076209751,1.08661829,1.097735516,1.110585972,1.123471052,1.135204474,1.147374243,1.159315299,1.170434761,1.180438746,1.189578906,1.197862429,1.205695015,1.213325198,1.220865569,1.228149023,1.235329382,1.242470338,1.249252813,1.255960582,1.26247746,1.268013352,1.2733817,1.276257486,1.276976736,1.276243472,1.273476284,1.268049613,1.257760342,1.244665727,1.229133145,1.210590431,1.189704892,1.166036299,1.13894539,1.107028562,1.070051208,1.025210281,0.969854172,0.905457277,0.827582806,0.736894589,0.639985505,0.5379301,0.438334151,0.346191253,0.264887032,0.206706778,0.120839695,slow
digital_insole_HC_07,0.085990763,0.141837688,0.200816759,0.275819934,0.369512806,0.497206649,0.63117377,0.755433052,0.861578493,0.949119299,1.015615807,1.061631534,1.098598847,1.129992052,1.161737711,1.199805845,1.242606898,1.279572706,1.315156717,1.348187221,1.375789067,1.399458239,1.417554989,1.431620818,1.44170347,1.448062288,1.449700323,1.44626966,1.43848565,1.42685169,1.411701196,1.394770232,1.374533179,1.351585544,1.326617585,1.302236774,1.276206179,1.250370684,1.226772394,1.204928012,1.183349838,1.164837826,1.149194935,1.135454035,1.125412524,1.117350843,1.111577952,1.108929909,1.10856591,1.109371926,1.111876849,1.115286948,1.122970129,1.130122232,1.139662674,1.149295613,1.160854295,1.173214015,1.184309664,1.196692599,1.20765278,1.217585393,1.226397362,1.233458362,1.240090891,1.247758526,1.254378427,1.261489108,1.268262806,1.27530824,1.283833575,1.292912538,1.30238609,1.309560582,1.315979463,1.320309119,1.322595057,1.322581191,1.318973125,1.311810162,1.297881025,1.279136806,1.257015581,1.232999821,1.19991805,1.157498968,1.106616064,1.04852834,0.981224463,0.906829765,0.824739143,0.741338319,0.659863794,0.580769883,0.508505431,0.442151063,0.385471969,0.332478828,0.281505078,0.19854638,slow
digital_insole_HC_08,0.242914425,0.324772044,0.389403964,0.462872076,0.538192182,0.610050898,0.678339268,0.738022658,0.792859499,0.847575249,0.898494155,0.939145391,0.97357067,1.008989853,1.042119315,1.076481888,1.11051529,1.140424139,1.166589471,1.193853698,1.217660193,1.239552896,1.255055863,1.268634409,1.277549037,1.286417281,1.292911403,1.299417807,1.302504316,1.302823362,1.301723421,1.300934053,1.300116099,1.298245588,1.295073194,1.288665343,1.281830543,1.274247555,1.268956957,1.259567016,1.251283843,1.241494327,1.229586901,1.220024791,1.213496052,1.20643763,1.197476463,1.189795191,1.183874528,1.179266091,1.175878091,1.173223783,1.171572309,1.168896537,1.168613033,1.168697339,1.171747673,1.175592712,1.181025907,1.1898614,1.199326846,1.211672902,1.223639431,1.236937636,1.2506676,1.265493764,1.278224666,1.289315134,1.29953001,1.306844522,1.309311403,1.309583206,1.3071879,1.302538276,1.296799836,1.290688041,1.282276581,1.271614044,1.260210418,1.247944373,1.231721806,1.215871105,1.197719135,1.175660737,1.148447447,1.120716108,1.088574038,1.051453781,1.013962419,0.971750901,0.924978508,0.874785041,0.822119689,0.763943265,0.704250401,0.643983771,0.585673092,0.530905059,0.480617919,0.382614865,slow
digital_insole_HC_09,0.058628558,0.110774475,0.161439726,0.225922242,0.311979353,0.409130309,0.515441237,0.620633005,0.71538191,0.79711764,0.867138605,0.930267078,0.987529682,1.038749569,1.08592829,1.131326348,1.172867139,1.209307324,1.240832825,1.27047258,1.295730744,1.316515002,1.33323652,1.344963715,1.351720298,1.355193028,1.355035349,1.350992155,1.345831044,1.338090522,1.327525889,1.315821243,1.30241609,1.288232558,1.273837271,1.260037389,1.245113956,1.231383819,1.218282789,1.206457374,1.195569093,1.185747324,1.177458872,1.170638605,1.164527521,1.160703305,1.158462429,1.156871333,1.157023147,1.158611812,1.160843826,1.163540133,1.169502165,1.175425663,1.182882317,1.192066159,1.201692133,1.213452181,1.227042467,1.241500347,1.257096279,1.273046748,1.289033793,1.305281006,1.322431193,1.338408149,1.353192763,1.367528435,1.381514276,1.3937174,1.404945787,1.416114915,1.425200179,1.43235677,1.438401755,1.441022289,1.441528708,1.439836769,1.434990277,1.427448917,1.416789763,1.40264196,1.386074178,1.366773532,1.343144519,1.314046622,1.279314519,1.236062726,1.178380808,1.10805452,1.024853031,0.928532269,0.824514366,0.715935781,0.606235835,0.499749164,0.398673204,0.30901096,0.234922491,0.13682017,slow
digital_insole_HC_10,0.259529746,0.343069203,0.431457973,0.522116873,0.607457589,0.685526581,0.756630377,0.824359908,0.889250729,0.947995137,0.998750407,1.045741261,1.09318387,1.139936983,1.185959486,1.229787393,1.270308029,1.309027642,1.342471773,1.375443102,1.409308287,1.440007577,1.470495036,1.496226509,1.515679848,1.531966708,1.542491522,1.54761314,1.548134214,1.543618911,1.536812654,1.527443424,1.515650062,1.505444509,1.49200737,1.478002706,1.464305332,1.451967915,1.438288036,1.426552824,1.4166867,1.40825065,1.400076242,1.395435386,1.390840037,1.386132117,1.383208783,1.381423343,1.379405428,1.378094989,1.375943476,1.373901783,1.371814538,1.369995959,1.369316283,1.367219475,1.366589325,1.366643918,1.367562504,1.36896555,1.370690618,1.373429005,1.379559513,1.385588427,1.393245702,1.40170665,1.410412254,1.422529089,1.436343819,1.449502265,1.463250129,1.477129608,1.491097717,1.503262147,1.512619849,1.517842994,1.519473576,1.51781482,1.511273638,1.499637945,1.482529854,1.460688054,1.434135852,1.403860692,1.369672785,1.329870989,1.28620532,1.239616131,1.190972882,1.135483775,1.070513435,0.985055377,0.881656897,0.769285813,0.664595372,0.572672077,0.497935633,0.439313468,0.392642785,0.320090627,slow
