ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Injury,speed
digital_insole_HC_01,0.007857584,0.032825856,0.082446831,0.171593921,0.270993769,0.376382755,0.463905461,0.538385956,0.593925866,0.654448472,0.722635275,0.777834046,0.821546409,0.842681016,0.857536341,0.869299997,0.88231183,0.899513503,0.92311744,0.950569864,0.978654356,1.007449147,1.032485288,1.051939959,1.063713005,1.070262146,1.070410753,1.065165635,1.055198493,1.040049114,1.020505022,0.998774496,0.975368393,0.949726428,0.922985026,0.896190907,0.86915274,0.842730824,0.817795787,0.793015167,0.769995488,0.747748185,0.726762936,0.70767358,0.690085916,0.673929423,0.659039124,0.64632745,0.635204645,0.624916735,0.61800236,0.614088185,0.612162731,0.613723688,0.619022985,0.628334245,0.641431137,0.658947428,0.679887602,0.703592854,0.730242161,0.758545686,0.788152179,0.818521827,0.850251148,0.880942422,0.910531033,0.938713716,0.966402719,0.993782849,1.018748904,1.041299512,1.062962227,1.083851936,1.103478866,1.118972973,1.132999147,1.145684169,1.156556901,1.165296994,1.170254878,1.171669379,1.169602518,1.163253164,1.15293197,1.135307025,1.111572409,1.079661125,1.03627787,0.984844479,0.916938611,0.833934848,0.738864192,0.6186361,0.487611634,0.340768007,0.223752744,0.129531539,0.092314008,0.048466523,1,fast
digital_insole_HC_02,0.008040492,0.027488432,0.079893987,0.171758852,0.301862397,0.467370796,0.641329826,0.781684261,0.907259965,0.999376997,1.065928882,1.108596578,1.131111748,1.144614568,1.154634168,1.166911333,1.187660664,1.211264075,1.238024929,1.265529063,1.291241046,1.309574727,1.322270454,1.327413175,1.325784535,1.314695456,1.300030695,1.276183372,1.245935118,1.210922565,1.169453796,1.126334584,1.078367402,1.029481352,0.979847968,0.929505738,0.879487902,0.832919584,0.786681244,0.740142129,0.696185318,0.65715041,0.621273235,0.588216952,0.55795567,0.531241257,0.510291377,0.49313493,0.483391714,0.480771452,0.483896533,0.495365467,0.516275974,0.547969135,0.58924196,0.642305936,0.70203462,0.769530251,0.838745786,0.905026505,0.962811038,1.016966524,1.061029011,1.104103694,1.14896228,1.19066456,1.229775531,1.266988424,1.303042292,1.33527758,1.36691583,1.397993646,1.427272747,1.454736376,1.47799306,1.497642336,1.511444021,1.521938703,1.526211056,1.524542844,1.514659675,1.497729221,1.476636458,1.447975694,1.410490164,1.360468644,1.305281967,1.23268086,1.148330573,1.050541213,0.949030375,0.840993932,0.731631191,0.62311086,0.528545444,0.438437269,0.358497096,0.280255244,0.20339666,0.105440257,0,fast
digital_insole_HC_03,0.00910193,0.024356368,0.069025388,0.149673046,0.288615189,0.431987406,0.599053574,0.740095799,0.859280751,0.96695878,1.069354282,1.152399739,1.222782786,1.261616914,1.288384978,1.306498978,1.323681103,1.341879508,1.359589212,1.377307862,1.392555906,1.403724054,1.410361169,1.410905645,1.406768112,1.396448317,1.38215066,1.36269385,1.3379804,1.310379018,1.277681636,1.2413676,1.204185067,1.162992829,1.117907728,1.072378628,1.025432787,0.977491206,0.931424157,0.886829313,0.841847071,0.799500105,0.759855114,0.723229513,0.689552974,0.658107203,0.631310508,0.609032369,0.590231099,0.577186781,0.569823454,0.5672346,0.570419472,0.579117167,0.595578407,0.623251145,0.659660935,0.703060865,0.755324538,0.811206493,0.867423074,0.919495856,0.969985704,1.017064343,1.065547151,1.117024178,1.169839268,1.220475291,1.268400106,1.314647499,1.357297189,1.395156497,1.429976142,1.461263926,1.487945986,1.508430458,1.524053646,1.53490237,1.538924096,1.538828196,1.532189842,1.520317382,1.500698458,1.475268102,1.438288364,1.394658169,1.332832414,1.262338374,1.16708962,1.057981165,0.929107446,0.80121904,0.677607975,0.566730806,0.46899635,0.392075784,0.323491354,0.25468961,0.186479786,0.095439519,1,fast
digital_insole_HC_04,0.017455837,0.040338827,0.070975889,0.214629506,0.410804452,0.663589354,0.787230971,0.891137224,0.991782847,1.056187927,1.102557546,1.132757868,1.17389654,1.222328499,1.275217279,1.320481037,1.358127434,1.387911904,1.412510478,1.432890938,1.450589106,1.465749721,1.477008223,1.482205905,1.482609185,1.478849031,1.470212813,1.453663597,1.430420264,1.400337593,1.364706401,1.324450523,1.278620015,1.231986629,1.185838651,1.140459653,1.097255607,1.056862597,1.020587758,0.986750214,0.955560691,0.928241802,0.90443655,0.885334626,0.869258005,0.855843468,0.846575151,0.839901143,0.834700903,0.831878087,0.832532311,0.836399564,0.845703681,0.858528196,0.873038735,0.889175751,0.906123525,0.922429598,0.93935895,0.955610499,0.971875827,0.991453498,1.012373025,1.035883002,1.06094434,1.087048947,1.11310976,1.140358746,1.168717182,1.195650267,1.221741461,1.24722271,1.271289819,1.294042532,1.313924888,1.328841737,1.34387991,1.356040747,1.364094021,1.367600074,1.364943752,1.356047578,1.339937121,1.316561863,1.281467431,1.233862291,1.168291564,1.085406226,0.990285703,0.88344561,0.777190933,0.674311789,0.579228843,0.496179169,0.42168453,0.359715873,0.300736224,0.243955057,0.187992845,0.106229732,1,fast
digital_insole_HC_05,0.04763354,0.102784019,0.168975444,0.25903447,0.351305786,0.452225816,0.548002576,0.660858322,0.757625693,0.848164079,0.916413653,0.963895779,0.996196433,1.019840202,1.045013097,1.074245508,1.09349534,1.109900265,1.140105985,1.175108252,1.207218773,1.234556116,1.256890065,1.26576648,1.257461927,1.251447695,1.254078361,1.250964837,1.233343367,1.201984301,1.169066635,1.144368218,1.134551825,1.12316979,1.113539709,1.105649789,1.098761813,1.104964848,1.099145388,1.082029802,1.062015723,1.044379163,1.024998294,1.007365415,0.990246752,0.977832096,0.955312675,0.935096324,0.917024577,0.890734201,0.869133693,0.847053923,0.828076859,0.817016335,0.805528186,0.796152704,0.789672877,0.793245757,0.808314867,0.82111105,0.838109679,0.862535949,0.884824082,0.910574008,0.940160739,0.964019769,0.98976632,1.017886478,1.047226332,1.077188853,1.107456866,1.136989468,1.166733496,1.196499859,1.220978401,1.243340977,1.263881347,1.283454387,1.297371634,1.310118137,1.324501275,1.333005629,1.337918372,1.33399286,1.318652749,1.301061431,1.277555585,1.241448506,1.187545911,1.117085295,1.029071744,0.923372539,0.809573229,0.687238671,0.578726068,0.477691624,0.37985794,0.274001391,0.187381741,0.098175184,1,fast
digital_insole_HC_06,0.007759968,0.019010591,0.05440262,0.10976393,0.223513731,0.364288759,0.549060168,0.714423912,0.861835563,0.994432574,1.119041201,1.192143302,1.246469847,1.265650095,1.278978089,1.290105688,1.300990014,1.309461917,1.317134508,1.323925345,1.330377193,1.336405795,1.340094821,1.341209853,1.337808645,1.331595181,1.319987789,1.305496068,1.284122766,1.260096451,1.230047604,1.197654738,1.161460517,1.123226831,1.081916875,1.039295804,0.99616105,0.953455662,0.911637986,0.871608419,0.832888597,0.796421386,0.760824023,0.729240606,0.700404582,0.675313549,0.653469452,0.636404387,0.623140366,0.614217469,0.610689833,0.613007049,0.619920303,0.630356484,0.645934062,0.665514933,0.691019656,0.719458242,0.753087544,0.791836574,0.836915634,0.882132531,0.925475967,0.964723581,0.998736792,1.030208546,1.060996673,1.091055669,1.120461452,1.148234881,1.17493838,1.198657008,1.221425637,1.241237017,1.259498397,1.273700051,1.284201339,1.290163834,1.292033414,1.289379005,1.283097182,1.274182614,1.259527667,1.242432163,1.218163727,1.191600363,1.152896038,1.110562875,1.051545128,0.986306151,0.902923286,0.809992541,0.700476379,0.586317987,0.467659714,0.365010066,0.272531189,0.20720341,0.150958407,0.076804029,1,fast
digital_insole_HC_07,0.025337688,0.071445595,0.138708366,0.221478038,0.309019773,0.401444677,0.506977425,0.625249673,0.754888903,0.860923755,0.943973411,1.002366446,1.037463379,1.062711693,1.079472806,1.092272972,1.107459128,1.124309016,1.144393713,1.167099569,1.191821944,1.211296349,1.227754322,1.240269078,1.248766284,1.255179507,1.256807366,1.253429891,1.245371562,1.232792554,1.216325497,1.198426072,1.176940494,1.152427088,1.127731295,1.102180153,1.075349113,1.050064983,1.025206093,1.002146585,0.980311572,0.960087125,0.942280164,0.926872428,0.912809841,0.900198867,0.890470819,0.883391198,0.879047098,0.875604521,0.873958969,0.875222113,0.879085876,0.883004337,0.889216604,0.900000482,0.913945939,0.931068383,0.956099945,0.985764307,1.016885699,1.048513699,1.079272411,1.108491519,1.13709392,1.165423721,1.192369942,1.221277393,1.250735531,1.277348178,1.301608141,1.322813474,1.341314895,1.356399958,1.367858915,1.375947009,1.381883813,1.384180086,1.383368193,1.379956991,1.371793209,1.359482913,1.341790015,1.314578185,1.276195696,1.226117692,1.1594024,1.082679436,0.997560815,0.907085585,0.814903369,0.722240431,0.628980963,0.542226094,0.462592681,0.400471742,0.346167665,0.29894226,0.256355397,0.156591148,0,fast
digital_insole_HC_08,0.001896972,0.003825575,0.022529273,0.043390127,0.148143613,0.27247056,0.439966485,0.626097747,0.777352778,0.906476893,0.992184754,1.051303177,1.091546546,1.111913038,1.121688865,1.12803003,1.141500951,1.159026607,1.175456538,1.193429179,1.2125584,1.23134759,1.244755237,1.250961169,1.252312569,1.246070389,1.232618442,1.211650367,1.185931929,1.156596892,1.12360795,1.086307487,1.04601257,1.002630859,0.956941762,0.908858686,0.858975993,0.808720689,0.758800123,0.710315722,0.663545664,0.618264699,0.573605322,0.5300477,0.490811065,0.455425424,0.424910814,0.397982531,0.375522223,0.357867921,0.348200696,0.346366249,0.348358305,0.353986143,0.363964207,0.380496184,0.400888729,0.425577383,0.454451113,0.488742623,0.527918456,0.574818708,0.630791584,0.691769317,0.75372824,0.814943947,0.876618925,0.938126459,0.997647839,1.054403339,1.107072625,1.155786464,1.202524491,1.247749034,1.289428732,1.324432647,1.35057128,1.371693451,1.384375378,1.390683569,1.390184074,1.385075868,1.372362012,1.354033272,1.331954134,1.305398994,1.270100125,1.223477471,1.166314777,1.098253961,1.01970601,0.922811506,0.81468912,0.688220834,0.565834679,0.453531648,0.347020249,0.265492867,0.183088008,0.091547147,1,fast
digital_insole_HC_09,0.010718483,0.026931115,0.071641361,0.140826086,0.262253534,0.403701477,0.567666714,0.707834645,0.833476766,0.933730334,1.026735707,1.079415029,1.126008046,1.155024472,1.18361882,1.212026487,1.240790121,1.270290743,1.293192278,1.31340539,1.328094776,1.339030325,1.342551106,1.34375267,1.337800664,1.329136894,1.315913942,1.297885877,1.274051807,1.247031204,1.216615199,1.184344124,1.151944078,1.118922558,1.085417203,1.052934939,1.019882809,0.986817356,0.956900315,0.929503242,0.90387387,0.880527617,0.861028057,0.845113453,0.832050158,0.821362616,0.81260521,0.805786615,0.80210882,0.800903161,0.801445939,0.804926622,0.812127688,0.822770767,0.835244514,0.852681277,0.87493611,0.900750747,0.930947302,0.966387833,1.003673564,1.042145276,1.080235916,1.117591634,1.154939375,1.190406669,1.222363414,1.254002554,1.286675871,1.318784196,1.350235901,1.379633812,1.406328255,1.427970593,1.44386283,1.456193975,1.467713722,1.472757471,1.474967063,1.472783302,1.46843122,1.458884494,1.446361652,1.429466463,1.405340535,1.374906275,1.328034783,1.273936081,1.197753858,1.116063308,1.014807564,0.909737272,0.791076473,0.666921082,0.533033854,0.411849067,0.302805288,0.221537106,0.153324583,0.077408497,0,fast
digital_insole_HC_10,0.023285918,0.049266579,0.090011883,0.156682296,0.280212533,0.413230382,0.55698584,0.686242542,0.803622963,0.890308064,0.963753847,1.015851715,1.061960535,1.099257285,1.134288501,1.1656623,1.194768434,1.218891435,1.238708186,1.253587638,1.263736587,1.268835836,1.2698961,1.268022009,1.261699893,1.252942304,1.241774898,1.226617422,1.206717388,1.18440523,1.159439721,1.133164103,1.105463341,1.075900702,1.04564567,1.014750494,0.982081964,0.949450629,0.919600536,0.890905708,0.863402067,0.838539029,0.815698693,0.795537747,0.777738762,0.762337805,0.748779158,0.737304029,0.728978172,0.723698211,0.721788216,0.722743751,0.726814372,0.735237793,0.748365239,0.768687239,0.798160433,0.834615272,0.874829324,0.913552177,0.94983558,0.986006963,1.02280585,1.060886547,1.099348208,1.138611991,1.178033563,1.216617449,1.253441567,1.288236672,1.321643662,1.35001371,1.372775646,1.388883988,1.400273471,1.406737438,1.410251682,1.40958491,1.405915811,1.398354762,1.387170293,1.371978394,1.352944754,1.330489619,1.300460757,1.26643973,1.222691787,1.173530535,1.106882483,1.032368547,0.93511274,0.82775539,0.698072842,0.569093277,0.44440325,0.344961954,0.26693562,0.20805671,0.157800489,0.081419372,1,fast
