ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Injury,speed
digital_insole_HC_01,0.041031228,0.092353151,0.152168826,0.218112143,0.28068027,0.339529809,0.393668512,0.437837156,0.470471082,0.510723844,0.556854506,0.600714787,0.637412471,0.666610975,0.693769175,0.720373208,0.751047497,0.781286574,0.813947033,0.846785158,0.87896416,0.907004399,0.929518346,0.946546768,0.958330268,0.965961372,0.970703429,0.972501741,0.9716863,0.968984014,0.963695848,0.955234503,0.946824821,0.937980351,0.929504693,0.920858202,0.912843832,0.905580331,0.899550316,0.893026581,0.88739185,0.882353341,0.878066286,0.873518495,0.869458263,0.865826819,0.862856244,0.861069216,0.859494869,0.858868362,0.859360668,0.860469274,0.8616744,0.865067454,0.869047573,0.873871214,0.880752132,0.888909743,0.897857092,0.90844392,0.920381059,0.932729329,0.944644132,0.957645613,0.971063731,0.984787405,0.998194543,1.011652296,1.024768938,1.037830435,1.050550479,1.063957435,1.076211116,1.088308393,1.099553858,1.109764734,1.121283553,1.13186359,1.139761641,1.14484958,1.147320786,1.146277689,1.141308663,1.13273611,1.120452238,1.10352435,1.07999573,1.050351074,1.011071357,0.961520955,0.902157255,0.834396327,0.752292057,0.650981966,0.539259311,0.423256338,0.30110083,0.200638979,0.132775787,0.076805914,1,normal
digital_insole_HC_02,0.022065967,0.065232383,0.13176152,0.228097713,0.332373361,0.444064286,0.550454332,0.652916406,0.748681716,0.823277201,0.883088967,0.923301665,0.951402602,0.975897353,0.998864445,1.022142666,1.045470489,1.06948544,1.093647831,1.118324257,1.141264217,1.159812741,1.174503843,1.183201782,1.184353097,1.180071478,1.17089357,1.15650428,1.135800914,1.110252184,1.080917852,1.048401403,1.013963532,0.978625501,0.944239215,0.909229982,0.873959406,0.842820328,0.815563485,0.789541026,0.766157037,0.744299071,0.725322792,0.709346748,0.696772208,0.688633379,0.684803301,0.684245888,0.687665202,0.700146983,0.711564495,0.726099348,0.750861482,0.780957426,0.815791915,0.856911923,0.901753891,0.947230252,0.991528165,1.033694094,1.07305736,1.108370284,1.140639202,1.16830053,1.191004242,1.211701268,1.231329475,1.24916927,1.266888093,1.285378755,1.304509274,1.324200833,1.342951674,1.359919394,1.37424834,1.386943904,1.398399714,1.406873479,1.412157634,1.413694289,1.411070151,1.402621034,1.388397628,1.370721426,1.343594955,1.308017738,1.262173629,1.204457461,1.138472676,1.061993122,0.976478858,0.883641304,0.782253123,0.681019029,0.58187025,0.494264376,0.409786665,0.327784195,0.249609242,0.139567389,0,normal
digital_insole_HC_03,0.016956074,0.059402503,0.127939382,0.248994338,0.362546971,0.469986759,0.569379647,0.66195467,0.748341885,0.827059904,0.89771907,0.961035187,1.012461437,1.052528084,1.085635871,1.11483693,1.142532214,1.168575667,1.191640002,1.212947496,1.232954065,1.249556081,1.262654693,1.273711544,1.281489372,1.285007221,1.284849692,1.279574014,1.26856695,1.253566903,1.233533866,1.207530264,1.177362313,1.144644025,1.110190899,1.073641266,1.03677687,1.001138653,0.967988089,0.935405359,0.903507552,0.873749538,0.847613765,0.824270706,0.804923538,0.789515594,0.777805298,0.768135363,0.761900571,0.759300071,0.759207051,0.761085205,0.766259421,0.774640879,0.78682607,0.802764253,0.82295938,0.847899618,0.877231055,0.910064001,0.944978049,0.980925134,1.016166778,1.052091076,1.087127193,1.122091025,1.15675105,1.189975817,1.222994197,1.255919291,1.287713471,1.318656824,1.348116046,1.376652114,1.400554696,1.421262064,1.439721619,1.452988758,1.462365317,1.466441773,1.465705083,1.461828705,1.452887425,1.437352651,1.415204686,1.384588396,1.342954713,1.292087301,1.227390801,1.140643327,1.038437757,0.918139364,0.791219186,0.666625882,0.546528064,0.449962593,0.365539669,0.293707562,0.231704891,0.135459316,1,normal
digital_insole_HC_04,0.01352626,0.042112341,0.101619513,0.260781892,0.431424973,0.576180429,0.666880659,0.763805654,0.84184017,0.89367955,0.9221798,0.951066477,0.984332329,1.024961824,1.066334523,1.109768722,1.148860467,1.181146186,1.208466462,1.234789287,1.259511351,1.281491764,1.301499014,1.317405526,1.327609802,1.333260143,1.333023639,1.328143585,1.318686516,1.303434519,1.281445333,1.25374735,1.221643742,1.187618345,1.153150714,1.119101381,1.087672875,1.060428708,1.037084647,1.01662315,0.99895664,0.984911557,0.973151038,0.962810466,0.95503166,0.949419776,0.944591484,0.942386678,0.941443989,0.941949068,0.943602858,0.947516923,0.955200145,0.964376089,0.976680172,0.991425302,1.007780494,1.027008664,1.046127902,1.064937327,1.082335441,1.098316351,1.113131475,1.12658687,1.13993614,1.15171377,1.162392611,1.173070526,1.184572701,1.196534787,1.208933846,1.221849918,1.234291124,1.244998773,1.253894834,1.263048289,1.270342877,1.276153498,1.280010295,1.280848458,1.278311296,1.271729807,1.259225813,1.243385264,1.220078658,1.186391901,1.141356406,1.084891183,1.010037057,0.920724513,0.820924001,0.718304869,0.618065055,0.523428733,0.446249373,0.382011036,0.324884025,0.272251029,0.213018347,0.125547384,1,normal
digital_insole_HC_05,0.061154918,0.150020047,0.229126657,0.287352092,0.334996985,0.381177111,0.429462185,0.484208464,0.532001127,0.575397401,0.605813465,0.627508553,0.644157027,0.675325001,0.714446532,0.755574532,0.79188386,0.823766449,0.844686435,0.873274605,0.897667323,0.924832516,0.949334752,0.983189696,1.012951334,1.049482237,1.086540542,1.116717998,1.136646962,1.144902418,1.174615972,1.192925705,1.202592653,1.225624297,1.247527509,1.27329608,1.286330479,1.306283398,1.311653963,1.319506025,1.316564289,1.30036758,1.278978277,1.276193643,1.268688767,1.253404967,1.223890208,1.206965866,1.199960421,1.190839549,1.177741769,1.165842442,1.145370117,1.140274089,1.136167311,1.125859243,1.118033674,1.115867926,1.120320161,1.12428078,1.118445037,1.114603506,1.117434003,1.123685758,1.131703275,1.134126146,1.144952862,1.162666543,1.178259792,1.197920567,1.212765247,1.223613893,1.23728712,1.246945098,1.257471798,1.262973422,1.273333423,1.280358208,1.281706922,1.289631328,1.28945108,1.288298213,1.28361437,1.280741075,1.278740149,1.259070498,1.227616555,1.191844918,1.143165236,1.071164414,0.994557095,0.909855018,0.812774957,0.696076281,0.593574204,0.498984023,0.411604013,0.325822389,0.244931426,0.150960342,1,normal
digital_insole_HC_06,0.016852257,0.042697192,0.084096906,0.172706928,0.284249461,0.43841163,0.585649193,0.72198278,0.840092149,0.943963553,1.021440962,1.078655604,1.109889436,1.129319561,1.144713869,1.160192668,1.175029152,1.188558347,1.202979552,1.216692285,1.22801959,1.236867585,1.244061981,1.249009025,1.250413927,1.248054429,1.24374891,1.235055115,1.221914478,1.204442997,1.183397501,1.160229979,1.133490065,1.104419918,1.074687368,1.045277996,1.016966979,0.989915935,0.963530724,0.938384434,0.916094172,0.896594879,0.880083837,0.865171359,0.852933941,0.842838022,0.834970691,0.830819425,0.83035102,0.833009904,0.83688472,0.842764078,0.852478201,0.864577241,0.878921936,0.896535829,0.916623991,0.938960277,0.962587208,0.988024618,1.014405415,1.039776852,1.062143395,1.082862715,1.10270316,1.122656714,1.142787929,1.163423189,1.183603914,1.201783032,1.219137837,1.236333125,1.251701205,1.264927295,1.276398794,1.28576618,1.293257717,1.29834519,1.299520784,1.297116991,1.291014548,1.281239735,1.268430273,1.252044594,1.230706234,1.204151821,1.168972729,1.127803687,1.076457442,1.015577024,0.946098527,0.860372956,0.763639781,0.651753158,0.536428121,0.420515844,0.326919479,0.243466585,0.180667918,0.096599033,1,normal
digital_insole_HC_07,0.041396293,0.096553267,0.160896316,0.228418272,0.312127452,0.404326922,0.50874096,0.638825425,0.756129992,0.852173767,0.924086572,0.973851033,1.007647126,1.030245472,1.046808147,1.064391019,1.084408912,1.107795047,1.134231873,1.159090322,1.180928905,1.200179194,1.215641136,1.2281727,1.236523377,1.240719661,1.240605481,1.238272819,1.231761159,1.221292639,1.207210227,1.191315931,1.173762586,1.154841507,1.135014915,1.114347251,1.094515648,1.077220943,1.06098432,1.04461177,1.029548158,1.016326916,1.004894611,0.995187823,0.987468886,0.982062758,0.978404686,0.976059044,0.974110405,0.974587291,0.975933436,0.978351972,0.983128245,0.99000365,0.998312614,1.008306851,1.020768159,1.035076537,1.052831735,1.071382256,1.089411787,1.106457569,1.121271627,1.135278188,1.149154107,1.164661355,1.181103178,1.198205889,1.217357908,1.236776351,1.255767853,1.273078143,1.288494932,1.301969305,1.312696666,1.321580331,1.328947248,1.333992948,1.336483927,1.335253168,1.329658533,1.319762903,1.303509599,1.279559301,1.247134527,1.203889023,1.14903575,1.083105078,1.00651471,0.922988693,0.836217729,0.746629099,0.655561469,0.567034787,0.488402114,0.42004657,0.362641502,0.313163924,0.267515066,0.176032351,0,normal
digital_insole_HC_08,0.012859351,0.03821234,0.088630515,0.159919189,0.242353472,0.347446818,0.451668344,0.552706358,0.639896626,0.718996958,0.779868982,0.835030112,0.88034905,0.915946109,0.944989559,0.961457347,0.976155795,0.989927397,1.004766371,1.019538622,1.031316158,1.041018451,1.048474515,1.051268463,1.051105982,1.049328479,1.045343699,1.037658629,1.025657484,1.011579989,0.995986327,0.979586697,0.961643491,0.942933836,0.923900079,0.904433727,0.884919971,0.865545989,0.847312956,0.829713695,0.812214019,0.796344458,0.781813524,0.768190371,0.755405036,0.744401503,0.734426494,0.725176301,0.717433226,0.709499015,0.703017164,0.699112714,0.697838963,0.699331648,0.701689201,0.705292618,0.710146996,0.716372246,0.72641954,0.737582463,0.751352855,0.768911877,0.788714357,0.812516642,0.839326286,0.869868024,0.903795775,0.939698278,0.976254891,1.011728786,1.046382437,1.077861276,1.107173207,1.133404546,1.154749295,1.171499947,1.183031292,1.192928744,1.199855778,1.205311923,1.209101389,1.205928214,1.199211002,1.188438352,1.170645584,1.148429883,1.119179518,1.086639901,1.049276066,1.004345963,0.955848559,0.896865763,0.830847805,0.752361526,0.661378711,0.564190855,0.461300332,0.362974664,0.273884629,0.146565339,1,normal
digital_insole_HC_09,0.021430687,0.059209989,0.120628129,0.208612108,0.305381135,0.412103514,0.529054925,0.648912002,0.740320398,0.81558157,0.872375608,0.918487423,0.961661457,1.002190483,1.041788589,1.079228372,1.110685737,1.136261154,1.157443272,1.17530041,1.190840717,1.202523408,1.209368359,1.212738832,1.213078302,1.211769624,1.207920202,1.200848354,1.191744577,1.17990877,1.167979275,1.155638487,1.141434738,1.126721524,1.110820019,1.094468055,1.077489516,1.06163354,1.046988888,1.032523124,1.019921117,1.009540385,1.001552485,0.995831176,0.991677343,0.990322075,0.990028895,0.990770551,0.992426697,0.995405204,0.998936547,1.00395946,1.011211561,1.018328261,1.026742938,1.036960228,1.048612824,1.061312603,1.075671839,1.091736791,1.109185149,1.129739012,1.151901693,1.175114916,1.200215266,1.225204641,1.248970824,1.270919709,1.291644933,1.311004655,1.328385056,1.344980824,1.361676029,1.37788816,1.392561555,1.405050949,1.416968107,1.425645679,1.429687999,1.429465866,1.425815063,1.419616776,1.409326397,1.395534728,1.377524927,1.352202058,1.319827373,1.279841101,1.225521403,1.16057168,1.078412404,0.985041436,0.881778177,0.762766651,0.637399652,0.503799289,0.383302644,0.272531748,0.188639809,0.09696893,0,normal
digital_insole_HC_10,0.04563718,0.099254043,0.162102957,0.262999937,0.369539743,0.480017769,0.591263284,0.691837554,0.768811885,0.825622471,0.874790173,0.917605931,0.961946027,1.007508464,1.05491974,1.10001242,1.141476939,1.172242726,1.195437159,1.212142479,1.224302829,1.233930242,1.241376186,1.245626597,1.248313086,1.249514055,1.247394812,1.243694414,1.238721207,1.231069624,1.220835309,1.208406105,1.194450739,1.179307338,1.162661997,1.143789635,1.123572817,1.101696126,1.080941584,1.060723746,1.042204814,1.024892602,1.008488279,0.993910835,0.981401323,0.97052361,0.960942723,0.95296804,0.946397752,0.941540916,0.937788118,0.936832366,0.938606532,0.941546813,0.946191006,0.956319901,0.971392085,0.990256899,1.014801388,1.041605484,1.06856328,1.095284433,1.121916679,1.148783034,1.176110963,1.203331233,1.230726949,1.259097853,1.289172572,1.320157926,1.350747366,1.380407839,1.408091639,1.432862139,1.455122334,1.470298827,1.480189447,1.485708087,1.48548103,1.48075836,1.471820657,1.457169888,1.438038707,1.413991418,1.38166472,1.343863928,1.298425086,1.243565202,1.18126965,1.105258652,1.013327664,0.910772235,0.788846232,0.657463609,0.525053871,0.409940695,0.318674078,0.244275035,0.192358306,0.109530998,1,normal
