ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,Injury,speed
digital_insole_HC_01,0.073027038,0.117702986,0.164770906,0.221279538,0.27027823,0.302636864,0.319499045,0.336238479,0.368977761,0.418153217,0.46817044,0.509651772,0.538555384,0.563137255,0.591402033,0.625814099,0.663103219,0.699688796,0.736662386,0.769847493,0.798923466,0.824550807,0.847009511,0.8676153,0.885094405,0.901822558,0.915908521,0.931971176,0.945764271,0.959725717,0.971068624,0.980601204,0.988900658,0.994736682,0.999077654,1.000979997,1.001670596,1.002412998,1.001837206,1.00146163,1.000886296,1.000636892,1.000855369,1.001220281,1.001803393,1.003215856,1.004566263,1.006721265,1.010142276,1.013565257,1.016166269,1.019622871,1.02326835,1.026656313,1.029225244,1.031419018,1.034292157,1.037245703,1.039415243,1.040926075,1.043746594,1.046802902,1.048527124,1.050340236,1.053373329,1.056565227,1.05912297,1.062551527,1.066745041,1.070679075,1.076409802,1.082204805,1.088111669,1.093901076,1.100068716,1.105938371,1.110124408,1.11260432,1.113530967,1.112014466,1.106304162,1.098246176,1.086262355,1.072646022,1.055524571,1.034351554,1.008329135,0.979066164,0.944150935,0.901420905,0.853010334,0.797750034,0.73619377,0.663581418,0.5785289,0.48324181,0.375876609,0.263683566,0.168212985,0.109010479,1,slow
digital_insole_HC_02,0.083437475,0.149550279,0.206548489,0.27438763,0.354617338,0.43819356,0.522300875,0.59670741,0.654773463,0.699230969,0.737132922,0.770674688,0.801298961,0.83232457,0.862949244,0.89508221,0.929115114,0.96333221,0.998359478,1.03390832,1.066548894,1.093891128,1.11607185,1.137353907,1.153953463,1.163296767,1.171413556,1.178771525,1.183691502,1.18396415,1.184862764,1.182689037,1.177869404,1.173449798,1.169149981,1.164691811,1.160977018,1.156116175,1.151431568,1.150887111,1.151303814,1.1525843,1.155484039,1.159006909,1.166006411,1.173790959,1.183256572,1.194315401,1.205726865,1.217661912,1.229566581,1.241382762,1.255623358,1.269075991,1.282499378,1.297582649,1.314780366,1.329602222,1.342542313,1.352367296,1.360868632,1.366859116,1.369177637,1.371704466,1.371251415,1.364401818,1.360648016,1.355746589,1.351751492,1.350031503,1.34893448,1.346508537,1.348705632,1.349292996,1.348939867,1.348824151,1.345819415,1.339605827,1.332576665,1.322243889,1.309971473,1.293858599,1.275423724,1.254528587,1.22976858,1.199181025,1.163898395,1.121389852,1.071085845,1.011914284,0.947547926,0.874405916,0.79081832,0.702373881,0.613898156,0.527087925,0.445158982,0.367847892,0.2939277,0.204455793,0,slow
digital_insole_HC_03,0.044855839,0.106187722,0.185025037,0.278665756,0.365896903,0.451740133,0.535636166,0.618517527,0.700582474,0.775907662,0.844043382,0.900645548,0.943295043,0.98148563,1.019284975,1.058614699,1.093751841,1.125181014,1.154432128,1.181591708,1.207879119,1.231463887,1.251863978,1.268633995,1.280916465,1.288792623,1.292289979,1.290300568,1.283082204,1.270400109,1.252740036,1.23131959,1.208178787,1.183691676,1.158381527,1.132619764,1.106891438,1.082548144,1.059511685,1.036786571,1.016284545,0.996636216,0.980834605,0.966513779,0.954622654,0.944754249,0.937520128,0.933775945,0.932840827,0.933941642,0.935851143,0.94029863,0.945634908,0.954247823,0.966175481,0.979066302,0.993530804,1.010654951,1.028690579,1.049081088,1.071001002,1.094653247,1.118914415,1.142829767,1.166532912,1.191516556,1.21752644,1.242410403,1.267085477,1.291953651,1.31519618,1.337505054,1.359540423,1.379417078,1.397338933,1.411244473,1.422086786,1.429733766,1.43366962,1.432699959,1.426901523,1.417661919,1.404568369,1.385904582,1.360922204,1.328074572,1.286562009,1.238374032,1.1785059,1.09848327,1.004686765,0.898356114,0.780987009,0.668274937,0.563216327,0.468469829,0.388658603,0.322421684,0.26117174,0.169516109,1,slow
digital_insole_HC_04,0.067068999,0.120955735,0.204022868,0.322565876,0.435167655,0.525834603,0.615115402,0.698374675,0.766927641,0.819859666,0.863383819,0.90353927,0.943856243,0.983867504,1.02752146,1.071678949,1.114507854,1.153773069,1.191241471,1.225356463,1.255496488,1.282365087,1.305155813,1.323515764,1.337890891,1.346055921,1.348625511,1.346266426,1.336261725,1.320723098,1.302235438,1.282535969,1.261482628,1.241373516,1.224818514,1.210279248,1.198195467,1.188606535,1.182369124,1.176483869,1.171339139,1.167032689,1.163628276,1.160813908,1.158239301,1.157605601,1.156805666,1.15739148,1.159420873,1.163454902,1.168014853,1.175474814,1.184492537,1.19446849,1.206473558,1.219489199,1.235553832,1.250169462,1.264735104,1.279016548,1.292188748,1.304952688,1.315313151,1.324184963,1.331871501,1.338866879,1.344867757,1.348752089,1.353364963,1.35744515,1.36116768,1.365180576,1.367898205,1.367974605,1.366784214,1.363554944,1.357985125,1.349931572,1.338835568,1.323454001,1.303034908,1.278967102,1.248986577,1.212893396,1.165493853,1.107042754,1.037336693,0.961192536,0.870819802,0.77724766,0.685813675,0.598553617,0.520298229,0.452811842,0.395035992,0.345299724,0.300428443,0.25715356,0.215994614,0.149202015,1,slow
digital_insole_HC_05,0.066131511,0.162942769,0.232906351,0.286411116,0.333125886,0.38620277,0.443380527,0.499880342,0.556677075,0.603442202,0.644675864,0.676025145,0.697960285,0.722392193,0.752036136,0.774282956,0.800316911,0.81919547,0.85288865,0.885794314,0.919376405,0.94465427,0.961420694,0.988493772,1.010095637,1.017728936,1.030538547,1.051557458,1.073432009,1.102959475,1.125965377,1.148796695,1.168061388,1.188362006,1.1948994,1.197687149,1.214676456,1.223528973,1.233432843,1.250245817,1.257305101,1.25805734,1.257114544,1.268459774,1.271400511,1.27179045,1.279366014,1.286071874,1.291647975,1.292969649,1.285225414,1.286181303,1.293787204,1.299138448,1.304367108,1.306915784,1.306708082,1.312447049,1.309410721,1.302960941,1.29836691,1.295367302,1.294833831,1.292173855,1.281313034,1.280096402,1.277623593,1.279652616,1.278889049,1.278721113,1.274707008,1.267969586,1.262803821,1.258425751,1.2529241,1.246279057,1.243927194,1.243156967,1.242514481,1.242686072,1.23937588,1.233214815,1.225806192,1.217303871,1.196923815,1.175275968,1.143657002,1.10660275,1.058344851,1.003087826,0.937735555,0.873898171,0.792779087,0.707508011,0.609516824,0.520212154,0.443779417,0.355508107,0.277539396,0.181318961,1,slow
digital_insole_HC_06,0.039562956,0.081780724,0.129364829,0.215747197,0.316534522,0.429270691,0.554873961,0.67382048,0.781925648,0.865462316,0.920130589,0.958170314,0.983217656,1.004707562,1.026074761,1.04796692,1.071617858,1.093532985,1.112974448,1.131107636,1.146843612,1.160960702,1.173572005,1.184771906,1.192768892,1.198031502,1.20135721,1.200948351,1.195495347,1.186705932,1.17356258,1.157591735,1.141284149,1.123831923,1.105322992,1.088358471,1.073609787,1.060189347,1.049429854,1.039399899,1.030886335,1.02549812,1.021360745,1.017793292,1.015354942,1.014334298,1.014117698,1.014956827,1.017829241,1.022883048,1.028596829,1.035845837,1.045810136,1.056921715,1.070108207,1.083488209,1.095570268,1.107861726,1.117819037,1.127100122,1.136689942,1.145671369,1.153861891,1.162730801,1.172600209,1.182838653,1.19419496,1.207493685,1.2209802,1.23410289,1.245774742,1.257653737,1.268670223,1.277749526,1.285126656,1.290590106,1.294287994,1.295027468,1.29214396,1.285725452,1.275672715,1.262294112,1.245154391,1.225072788,1.201231942,1.171880552,1.136482498,1.096612451,1.047963602,0.987499536,0.917291456,0.834656464,0.739484981,0.637129166,0.53024182,0.429818117,0.339451144,0.262737969,0.207253199,0.121732971,1,slow
digital_insole_HC_07,0.07829095,0.135362165,0.187733168,0.250116091,0.33125345,0.424519032,0.537427469,0.650065613,0.748981638,0.83057868,0.894930702,0.937701727,0.970957684,0.995595669,1.018259671,1.043111758,1.072751253,1.102214601,1.132516636,1.160283658,1.185987987,1.206204606,1.22291346,1.234197309,1.241306307,1.243962446,1.244313402,1.243103263,1.239132517,1.232179583,1.223495712,1.213179307,1.20302976,1.192141983,1.181938209,1.170932565,1.161065744,1.153781173,1.146859386,1.140907042,1.137113768,1.13377013,1.131835946,1.131059705,1.133261355,1.135267316,1.137825862,1.14193488,1.146166372,1.150585719,1.155303785,1.161988789,1.169312284,1.177368673,1.185245408,1.193565584,1.201255874,1.208424612,1.21526734,1.221632907,1.227107699,1.229748159,1.231461552,1.234311484,1.237771505,1.240495091,1.245154694,1.25180143,1.259896633,1.269642155,1.279202258,1.290732469,1.300322746,1.309168655,1.315820491,1.321360763,1.324532113,1.326803288,1.325677651,1.321089364,1.311559305,1.296250018,1.275637439,1.251296016,1.218823632,1.177522305,1.127702567,1.068318018,0.99745884,0.921672782,0.838658219,0.751807859,0.663025361,0.574406997,0.495156715,0.426243584,0.370496361,0.322605097,0.279007128,0.204455728,0,slow
digital_insole_HC_08,0.071154064,0.111608335,0.151524023,0.197478736,0.24777552,0.301610755,0.357293081,0.409819136,0.456445766,0.500852975,0.544877674,0.590506487,0.636537302,0.678994983,0.719272631,0.755527055,0.789395172,0.825237389,0.857005045,0.888777227,0.916494892,0.93926107,0.9582415,0.974742163,0.988606036,1.000294041,1.010621006,1.019353998,1.02709353,1.033758094,1.039361764,1.044080741,1.048001749,1.050430662,1.051276155,1.052358375,1.051715217,1.050240042,1.048761974,1.045870183,1.042205173,1.038964419,1.034518363,1.030180905,1.027041897,1.022316977,1.019351463,1.017626555,1.013262329,1.011141305,1.008269054,1.006497297,1.004466682,1.004390582,1.00411832,1.001887105,1.002292854,1.003276228,1.005820978,1.009539344,1.014598854,1.02133083,1.028222538,1.035305232,1.043833893,1.053536044,1.065474547,1.077404108,1.08923196,1.101150855,1.111608264,1.121907313,1.130962412,1.136659708,1.138114854,1.139680334,1.137842589,1.134691345,1.126126521,1.115809551,1.102376745,1.085446476,1.065968599,1.044304051,1.018403438,0.990974473,0.96161535,0.929060967,0.892544166,0.855633677,0.816757646,0.77500646,0.731430125,0.68320097,0.62797796,0.563548895,0.492151089,0.417703214,0.343289158,0.241858346,1,slow
digital_insole_HC_09,0.057397026,0.110924338,0.164526175,0.226796664,0.308166944,0.397641136,0.49149009,0.576306087,0.648718591,0.710332925,0.76232905,0.812021478,0.85958905,0.905354876,0.947473362,0.986110225,1.019350692,1.048563638,1.073369595,1.095138148,1.113691605,1.12843996,1.140277873,1.150619195,1.159739554,1.167570933,1.173768339,1.178842436,1.182352291,1.18311966,1.182196477,1.178597214,1.17284444,1.165689438,1.156298297,1.145945233,1.136735167,1.128855187,1.122492009,1.117536662,1.115232559,1.114126181,1.113288822,1.112139465,1.112000592,1.113270223,1.114359243,1.11598327,1.118364545,1.122414387,1.126485627,1.130286415,1.135095757,1.140049672,1.146201058,1.153539971,1.160966378,1.16951181,1.178923119,1.188803463,1.200031066,1.21343227,1.228635334,1.244265482,1.261971292,1.280518376,1.29999905,1.318558256,1.334791508,1.347977075,1.357191903,1.36489351,1.372418721,1.379317026,1.383721338,1.384895255,1.385983313,1.386991907,1.384782165,1.37955209,1.37197237,1.362469338,1.348508425,1.330769274,1.310627177,1.286437252,1.25828137,1.22316766,1.180820259,1.129518963,1.066953281,0.990635437,0.9031775,0.802469579,0.688949838,0.564021433,0.434446058,0.31810372,0.22739008,0.12639601,0,slow
digital_insole_HC_10,0.098990533,0.155542982,0.2212878,0.305938093,0.389821523,0.463678661,0.534849403,0.603938916,0.66771193,0.723475463,0.768331042,0.805283732,0.837226103,0.866457095,0.896674589,0.926846576,0.955073262,0.981348229,1.007332197,1.033963867,1.059450696,1.085066761,1.110876713,1.134875569,1.157710985,1.178292794,1.193514272,1.207185682,1.216847194,1.223414674,1.227365272,1.22935309,1.230198577,1.229988431,1.229672627,1.227513606,1.224972779,1.221348737,1.218006613,1.213547848,1.208122835,1.202698668,1.196934781,1.191952829,1.187384556,1.182462231,1.177143096,1.172763066,1.17013517,1.16766585,1.165136257,1.164681131,1.164440647,1.165867866,1.168959742,1.173424517,1.17884768,1.186198361,1.195373978,1.204973657,1.215665584,1.228286772,1.241160078,1.254825717,1.268608855,1.282361163,1.2962945,1.311387122,1.323807729,1.336455123,1.349949023,1.361841509,1.371443981,1.382871245,1.390973485,1.396935129,1.401568161,1.402212838,1.399433195,1.393667868,1.38439682,1.370614851,1.352967668,1.331656434,1.30565709,1.272895983,1.235250993,1.19209969,1.144341216,1.090824981,1.029709187,0.957989289,0.873162538,0.774530611,0.663345128,0.54348082,0.425462099,0.324105875,0.244585281,0.168060475,1,slow
