# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[%]	left center of pressure Y[%]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[%]	right center of pressure Y[%]
0.00																										11.00	8.00	7.25	6.75	2.00	2.25	0.75	0.50	0.50	0.50	0.75	0.50	0.25	0.50	0.25	0.00	-0.246582	0.064453	0.931641	-2.940000	-6.650000	2.030000	528.00	-0.26	-0.04
0.01																										11.00	7.75	7.25	6.50	2.00	2.00	0.75	0.50	0.25	0.25	0.75	0.50	0.25	0.50	0.50	0.00	-0.249512	0.068359	0.929688	-2.870000	-6.440000	2.030000	515.00	-0.27	-0.04
0.02																										11.00	7.75	7.25	6.75	2.00	2.00	0.50	0.50	0.50	0.50	0.75	0.50	0.25	0.75	0.50	0.00	-0.249512	0.068359	0.929688	-2.870000	-6.440000	2.030000	524.00	-0.26	-0.03
0.03																										11.00	7.50	7.25	6.50	2.00	2.25	0.75	0.50	0.50	0.25	1.00	0.75	0.00	0.25	0.25	0.00	-0.246582	0.062988	0.933105	-2.800000	-6.440000	1.960000	518.00	-0.26	-0.03
0.04																										10.75	7.50	7.25	6.75	2.00	2.25	0.50	0.50	0.25	0.75	1.00	0.75	0.25	0.75	0.25	0.00	-0.253418	0.064941	0.928223	-2.730000	-6.440000	1.890000	523.00	-0.26	-0.04
0.05																										11.25	7.75	7.50	6.75	2.00	2.00	0.75	0.50	0.50	0.50	0.50	0.50	0.25	0.50	0.00	0.00	-0.245117	0.064453	0.927734	-2.870000	-6.440000	1.890000	523.00	-0.27	-0.03
0.06																										11.25	7.75	7.50	6.75	2.00	2.00	0.75	0.50	0.50	0.50	1.00	0.50	0.25	0.75	0.25	0.00	-0.251465	0.062988	0.932617	-3.080000	-6.510000	1.890000	535.00	-0.26	-0.03
0.07																										11.00	8.00	7.50	6.75	2.00	2.00	0.75	0.50	0.50	0.50	1.00	0.50	0.25	0.25	0.50	0.25	-0.250977	0.068359	0.931152	-3.080000	-6.370000	1.890000	534.00	-0.26	-0.04
0.08																										11.00	7.75	7.50	6.75	2.00	2.00	0.50	0.50	0.75	0.75	0.50	0.50	0.00	1.00	0.50	0.00	-0.246582	0.068359	0.927734	-3.150000	-6.440000	1.820000	531.00	-0.25	-0.03
0.09																										11.25	7.75	7.50	7.00	2.00	2.00	0.75	0.50	0.75	0.75	0.75	0.50	0.25	0.75	0.25	0.00	-0.248535	0.065430	0.930176	-3.290000	-6.300000	1.820000	542.00	-0.25	-0.03
0.10																										11.00	8.00	7.50	6.75	2.00	2.00	0.75	0.50	0.50	0.50	0.75	0.50	0.25	0.75	0.25	0.00	-0.250000	0.063965	0.936523	-3.220000	-6.230000	1.820000	531.00	-0.26	-0.03
0.11																										11.25	8.00	7.50	6.75	2.25	2.00	0.75	0.50	0.50	0.50	0.75	0.50	0.25	1.00	0.25	0.00	-0.247559	0.062988	0.928223	-3.220000	-6.300000	1.820000	540.00	-0.26	-0.03
0.12																										11.00	7.75	7.25	7.00	2.00	2.00	0.75	0.50	0.75	0.25	0.75	0.75	0.25	0.75	0.25	0.00	-0.246582	0.063477	0.927734	-3.080000	-6.160000	1.750000	532.00	-0.26	-0.03
0.13																										11.25	7.75	7.50	6.75	2.00	1.75	0.75	0.50	0.50	0.50	0.75	0.75	0.25	1.00	0.50	0.00	-0.247070	0.065918	0.928711	-3.080000	-6.230000	1.820000	537.00	-0.25	-0.03
0.14	2.50	1.25	1.50	1.00	0.00	0.00	0.50	0.00	0.50	0.50	0.50	0.25	0.00	0.50	0.50	0.00	-0.305176	0.041992	0.932617	-1.330000	2.730000	0.140000	122.00	-0.13	0.03	11.00	7.75	7.50	7.00	2.00	2.00	0.75	0.50	0.75	0.50	0.50	0.50	0.25	0.75	0.50	0.00	-0.249512	0.059570	0.931152	-3.080000	-6.090000	1.890000	536.00	-0.25	-0.03
0.15	2.00	1.00	1.50	1.25	0.25	0.00	0.50	0.25	0.50	0.50	0.25	0.25	0.00	0.50	0.00	0.00	-0.307129	0.042969	0.929199	-1.260000	2.590000	0.000000	114.00	-0.15	0.01	11.50	7.75	7.25	6.75	2.00	2.00	0.75	0.50	1.00	0.50	0.75	0.75	0.25	0.50	0.25	0.00	-0.252930	0.066406	0.931152	-3.290000	-5.950000	1.890000	540.00	-0.25	-0.03
0.16	2.00	1.00	1.50	1.50	0.25	0.00	0.50	0.00	0.50	0.50	0.25	0.25	0.00	0.50	0.50	0.25	-0.309082	0.042969	0.932129	-1.330000	2.590000	0.210000	121.00	-0.13	0.01	11.25	7.75	7.50	6.75	1.75	1.75	0.75	0.50	0.75	0.75	0.75	0.50	0.25	1.00	0.25	0.00	-0.250488	0.065918	0.937500	-3.290000	-5.740000	1.820000	534.00	-0.25	-0.03
