# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[%]	left center of pressure Y[%]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[%]	right center of pressure Y[%]	right steps[]	left steps[]
0.00																										1.75	2.00	2.75	2.75	5.25	6.25	0.75	2.25	0.75	0.50	1.25	1.25	1.75	1.25	0.75	1.50	-0.132324	0.069336	0.975098	-2.590000	-3.150000	2.660000	352.00	-0.07	-0.12		
0.01																										1.75	2.00	2.50	2.75	5.00	6.25	0.75	2.25	0.75	0.75	1.25	1.75	1.75	1.25	0.75	1.75	-0.139160	0.067383	0.969238	-2.520000	-3.150000	2.660000	356.00	-0.06	-0.12		
0.02	3.25	4.00	5.75	5.50	7.75	8.50	0.75	3.50	0.75	0.75	1.25	1.00	2.25	2.25	0.75	1.00	-0.203613	0.073730	0.941406	-1.610000	6.370000	-1.120000	530.00	-0.12	-0.11																											
0.03																										1.75	2.00	2.50	2.75	5.00	6.25	0.75	2.25	0.25	1.25	1.00	1.25	1.75	1.00	0.75	1.75	-0.133301	0.069824	0.969727	-2.660000	-3.290000	2.660000	344.00	-0.08	-0.13		
0.04	3.25	3.75	5.50	5.00	7.75	8.50	0.75	3.50	0.00	0.75	1.00	1.00	2.25	2.25	0.75	1.00	-0.203613	0.070801	0.944824	-1.680000	6.440000	-1.120000	507.00	-0.12	-0.12																											
0.05																										1.75	2.00	2.50	2.75	5.00	6.50	0.50	2.25	1.00	0.50	1.00	1.25	2.00	1.25	0.75	1.50	-0.133301	0.065918	0.971191	-2.590000	-3.430000	2.660000	348.00	-0.07	-0.12		
0.06	3.25	3.50	5.75	5.25	7.75	8.50	0.75	3.25	0.50	0.75	1.25	1.00	2.50	2.25	0.75	1.00	-0.203125	0.073730	0.945312	-1.680000	6.440000	-1.260000	518.00	-0.11	-0.11	1.75	2.25	2.75	2.75	5.25	6.50	0.75	2.25	0.50	0.50	1.00	1.25	2.00	1.25	0.75	1.75	-0.129395	0.068848	0.972656	-2.590000	-3.430000	2.590000	354.00	-0.08	-0.13		
0.07	3.25	3.75	6.00	5.00	7.75	8.50	0.75	3.50	0.50	0.75	1.25	1.00	2.25	2.25	1.00	1.25	-0.202637	0.071289	0.948242	-1.680000	6.510000	-1.190000	526.00	-0.11	-0.11	1.75	2.00	2.75	2.75	5.25	6.75	0.75	2.50	0.75	0.50	1.00	1.25	2.00	1.25	1.00	1.75	-0.132812	0.068359	0.971191	-2.520000	-3.500000	2.520000	365.00	-0.07	-0.13		
0.08	3.00	3.75	5.75	5.25	7.75	8.50	0.75	3.50	1.00	0.50	1.25	1.00	2.25	2.25	1.00	1.00	-0.202637	0.070801	0.947266	-1.540000	6.510000	-1.120000	526.00	-0.11	-0.11	1.75	2.00	2.75	3.25	5.25	6.75	0.75	2.50	0.75	0.50	1.25	1.25	2.00	1.25	0.75	1.75	-0.132324	0.071289	0.969727	-2.590000	-3.430000	2.590000	370.00	-0.08	-0.13		
0.09	3.00	3.75	5.75	5.25	7.75	8.75	0.75	3.50	0.50	0.75	1.25	0.75	2.25	2.75	1.00	1.00	-0.201660	0.073242	0.949219	-1.540000	6.370000	-1.120000	526.00	-0.11	-0.11	1.75	2.00	2.75	3.00	5.50	6.75	0.50	2.25	0.50	1.00	1.25	1.50	2.00	1.25	0.75	1.75	-0.132324	0.071289	0.969727	-2.590000	-3.430000	2.590000	367.00	-0.07	-0.13		
0.10	3.00	4.00	5.75	5.00	8.00	8.75	0.75	3.50	0.75	0.50	1.25	1.00	2.25	2.25	1.00	1.00	-0.203613	0.072266	0.954102	-1.540000	6.650000	-1.190000	528.00	-0.11	-0.11	1.75	2.00	2.75	2.75	5.50	6.50	0.75	2.50	0.50	0.75	1.25	1.25	1.75	1.25	1.00	1.75	-0.129395	0.071289	0.968750	-2.590000	-3.360000	2.660000	364.00	-0.07	-0.12		
0.11	3.25	3.25	6.00	5.00	7.75	8.50	0.75	3.50	0.75	0.75	1.25	1.00	2.25	2.50	0.75	1.00	-0.198242	0.071777	0.945801	-1.470000	6.790000	-1.260000	523.00	-0.11	-0.10	1.75	1.75	2.75	2.50	5.50	6.75	0.50	2.50	0.75	0.75	1.25	1.25	2.00	1.25	0.75	1.75	-0.127930	0.067871	0.970703	-2.520000	-3.150000	2.660000	361.00	-0.07	-0.13		
0.12	3.00	4.00	5.75	5.00	7.75	8.50	0.75	3.50	0.75	0.50	1.25	0.75	2.25	2.25	0.75	1.00	-0.208008	0.071777	0.952148	-1.540000	6.790000	-1.190000	517.00	-0.12	-0.11	2.00	2.25	2.75	2.75	5.75	7.00	0.75	2.50	0.50	0.75	1.00	1.25	2.00	1.25	0.75	1.75	-0.127441	0.062500	0.977051	-2.380000	-3.150000	2.590000	374.00	-0.08	-0.13		
0.13	3.00	3.50	6.00	5.25	7.75	8.75	0.75	3.50	0.25	0.50	1.25	0.50	2.25	2.25	0.75	1.00	-0.204102	0.070312	0.948242	-1.470000	6.440000	-1.050000	512.00	-0.12	-0.11	1.75	2.25	2.75	3.00	5.50	7.00	0.75	2.50	0.50	0.50	1.00	1.50	2.00	1.25	0.75	1.75	-0.129883	0.065918	0.976074	-2.380000	-3.080000	2.520000	372.00	-0.08	-0.13		
0.14	2.75	3.50	5.75	5.00	7.75	8.75	0.75	3.50	0.75	0.75	1.25	1.00	2.25	2.50	0.75	1.00	-0.205566	0.069824	0.952148	-1.400000	6.370000	-1.190000	520.00	-0.11	-0.11	1.75	2.25	2.75	3.25	5.50	6.75	0.50	2.25	0.50	0.75	1.00	1.50	2.00	1.25	0.75	1.75	-0.123535	0.070312	0.974609	-2.450000	-3.290000	2.520000	367.00	-0.08	-0.13		
0.15	2.75	3.50	6.00	5.00	7.75	8.50	0.75	3.50	0.75	0.75	1.25	1.00	2.50	2.25	0.75	1.00	-0.210938	0.071289	0.950684	-1.610000	6.160000	-1.120000	520.00	-0.11	-0.11	2.00	2.00	2.50	2.75	5.50	7.00	0.50	2.50	0.50	0.75	1.25	1.50	2.00	1.25	1.00	1.50	-0.128418	0.072266	0.976562	-2.520000	-3.150000	2.590000	369.00	-0.07	-0.13		
0.16	3.00	3.75	6.00	5.00	7.75	8.50	0.75	3.50	0.75	0.75	1.25	1.00	2.25	2.25	1.00	1.00	-0.207520	0.072266	0.950684	-1.610000	6.370000	-1.190000	525.00	-0.11	-0.11	2.00	2.25	2.75	2.75	5.50	7.25	0.75	2.50	0.50	0.75	1.25	1.25	2.00	1.25	0.75	1.75	-0.130859	0.067383	0.973633	-2.590000	-3.150000	2.520000	377.00	-0.08	-0.13		
0.17	3.00	3.75	6.00	5.00	7.75	8.75	0.75	3.50	0.75	0.75	1.00	1.00	2.00	2.25	1.00	1.00	-0.204102	0.071289	0.947754	-1.610000	6.510000	-1.330000	523.00	-0.11	-0.11	2.00	2.25	2.75	3.25	5.50	7.25	0.75	2.25	0.00	0.50	1.25	1.50	2.50	1.50	0.75	1.75	-0.129883	0.064453	0.976074	-2.520000	-3.150000	2.450000	379.00	-0.08	-0.14		
0.18	3.00	3.75	6.00	5.00	7.75	8.75	0.75	3.50	0.75	0.75	1.25	1.00	2.25	2.50	1.00	1.00	-0.200684	0.074707	0.954102	-1.540000	6.230000	-1.190000	530.00	-0.11	-0.11	2.00	2.25	2.75	2.75	5.75	7.25	0.75	2.50	0.75	0.50	1.00	1.50	2.00	1.25	0.75	1.75	-0.134277	0.063477	0.975098	-2.520000	-3.220000	2.660000	380.00	-0.08	-0.13		
0.19	3.00	3.50	6.00	5.00	7.75	9.00	0.75	3.50	0.50	0.75	1.25	0.75	2.25	2.25	1.00	1.00	-0.208008	0.070801	0.954102	-1.680000	6.090000	-1.050000	523.00	-0.11	-0.11	1.75	2.25	2.50	3.25	5.50	7.25	0.75	2.50	0.50	1.00	1.00	1.25	2.00	1.25	0.75	1.75	-0.125977	0.064453	0.978516	-2.520000	-3.150000	2.660000	377.00	-0.08	-0.13		
0.20	3.00	3.75	6.00	5.00	8.00	8.75	0.75	3.50	0.75	0.50	1.00	0.75	2.25	2.50	0.75	1.00	-0.201172	0.069336	0.955566	-1.610000	6.090000	-1.190000	523.00	-0.12	-0.11	1.75	2.25	2.75	3.00	5.50	7.00	0.75	2.75	0.50	0.50	1.25	1.50	2.00	1.25	0.75	1.75	-0.128418	0.071777	0.977539	-2.450000	-3.150000	2.660000	378.00	-0.08	-0.13		
0.21	2.75	3.75	6.00	5.00	8.00	8.75	0.75	3.50	0.75	0.75	1.00	0.75	2.25	2.75	0.75	1.00	-0.207031	0.076172	0.949219	-1.610000	6.160000	-1.260000	525.00	-0.11	-0.11	1.50	2.00	2.75	2.75	5.75	7.25	0.75	2.50	0.75	0.75	1.25	1.50	2.00	1.25	0.75	1.50	-0.129395	0.069336	0.975586	-2.450000	-3.010000	2.660000	377.00	-0.07	-0.13		
0.22	3.25	3.75	6.25	5.00	8.00	8.75	0.75	3.75	0.75	0.50	1.00	1.00	2.25	2.50	0.75	1.00	-0.202637	0.074219	0.950195	-1.610000	6.300000	-1.190000	534.00	-0.12	-0.11	2.00	2.25	2.50	3.00	5.75	7.25	0.75	2.50	0.50	0.75	1.25	1.50	2.00	1.25	0.75	1.75	-0.127930	0.069824	0.972656	-2.520000	-3.010000	2.520000	382.00	-0.08	-0.13		
0.23	3.00	3.75	6.00	5.00	7.75	9.00	0.75	3.75	0.75	0.75	1.25	1.00	2.25	2.25	0.50	1.00	-0.204102	0.070312	0.953125	-1.610000	6.160000	-1.190000	529.00	-0.12	-0.11	2.00	2.00	2.75	3.25	5.75	7.25	0.50	2.50	0.75	0.75	1.00	1.25	2.00	1.25	0.75	1.50	-0.129395	0.065430	0.976562	-2.590000	-3.080000	2.450000	378.00	-0.08	-0.13		
0.24	2.75	4.00	6.00	5.00	8.00	9.00	0.75	3.75	0.75	0.75	1.25	0.75	2.25	2.25	0.75	1.00	-0.203613	0.073242	0.947266	-1.610000	6.160000	-1.050000	532.00	-0.11	-0.11	2.00	2.00	2.75	2.75	5.75	7.25	0.50	2.25	0.75	0.75	1.25	1.50	2.00	1.25	1.00	1.75	-0.124512	0.071289	0.976074	-2.520000	-3.080000	2.520000	378.00	-0.07	-0.12		
0.25	3.00	3.50	6.00	5.00	8.00	9.00	0.75	3.75	0.25	0.50	1.25	0.75	2.25	2.25	0.75	1.00	-0.204102	0.069336	0.950684	-1.540000	6.230000	-1.190000	521.00	-0.12	-0.11	1.75	2.25	2.75	3.00	5.75	7.25	0.50	2.50	0.50	0.50	1.00	1.50	2.00	1.25	0.75	1.50	-0.127441	0.069824	0.982910	-2.590000	-3.220000	2.660000	372.00	-0.08	-0.13		
