# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[%]	left center of pressure Y[%]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[%]	right center of pressure Y[%]
0.00	3.50	3.75	6.50	7.00	8.00	8.50	2.25	6.25	3.75	5.75	6.75	5.50	5.25	6.75	0.25	4.50	-0.190918	0.069824	0.963867	-7.770000	6.720000	0.000000	897.00	0.00	-0.10																									
0.01	3.50	4.00	6.50	7.25	8.25	8.50	2.50	6.25	4.00	5.25	6.75	5.50	5.00	6.75	0.50	4.50	-0.196289	0.067871	0.959961	-7.210000	7.070000	-0.280000	907.00	0.00	-0.10																									
0.02	3.00	4.25	6.50	7.25	8.00	8.25	2.50	6.00	3.50	6.00	6.75	5.75	5.25	7.25	0.50	4.75	-0.193359	0.057617	0.960449	-6.790000	7.350000	-0.630000	907.00	0.01	-0.10	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.513672	0.085938	0.871582	129.710007	24.780001	-282.940002	23.00	0.00	0.00
0.03	3.25	4.00	6.50	7.25	8.00	8.25	2.50	6.00	4.00	6.00	6.75	5.50	5.00	7.25	0.50	4.50	-0.196777	0.069336	0.962402	-6.650000	7.420000	-0.980000	908.00	0.01	-0.09	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.484375	0.072754	0.874512	115.849998	30.309999	-289.029999	23.00	0.00	0.00
0.04	3.50	3.75	6.50	7.25	8.50	8.25	2.50	6.00	4.00	6.00	6.50	5.75	5.00	7.00	0.50	4.50	-0.194336	0.057617	0.949707	-6.650000	6.930000	-1.260000	911.00	0.01	-0.09	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	-0.448730	0.090820	0.858887	102.550003	36.330002	-294.209991	25.00	0.00	0.00
0.05	3.25	4.25	6.75	7.25	8.50	8.25	2.50	6.00	4.25	6.25	7.00	5.50	5.00	7.25	0.50	4.50	-0.195312	0.057617	0.955566	-6.440000	6.650000	-1.330000	927.00	0.01	-0.09	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.405273	0.151367	0.913574	92.400002	42.139999	-296.940002	23.00	0.00	0.00
0.06	3.25	4.25	6.75	7.25	8.50	8.25	2.50	5.75	4.25	6.25	6.75	5.50	4.75	7.25	0.50	4.75	-0.195312	0.060059	0.966309	-6.020000	6.720000	-1.330000	920.00	0.01	-0.09	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.351074	0.208496	0.929199	85.820000	45.360001	-296.100006	23.00	0.00	0.00
0.07	3.50	4.00	6.75	7.25	8.50	8.25	2.75	5.75	4.50	6.00	7.00	5.75	4.50	7.25	0.50	4.75	-0.193359	0.061035	0.955078	-5.880000	6.930000	-1.400000	927.00	0.01	-0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.330078	0.257812	0.905762	80.709999	47.180000	-292.670013	27.00	0.00	0.00
0.08	3.25	4.25	6.75	7.00	9.00	8.25	2.75	5.75	4.50	6.25	7.00	5.50	4.75	7.25	0.50	4.75	-0.194824	0.064453	0.955566	-5.950000	6.930000	-1.400000	932.00	0.01	-0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.305176	0.270508	0.874023	77.629997	49.630001	-288.679993	27.00	0.00	0.00
0.09	3.50	4.00	7.00	7.50	9.25	8.25	2.75	5.75	4.50	6.25	7.00	5.50	4.50	7.50	0.50	4.75	-0.193359	0.057617	0.962402	-6.090000	6.580000	-1.260000	943.00	0.01	-0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.260742	0.277832	0.920410	76.370003	57.400002	-285.390015	27.00	0.00	0.00
0.10	3.50	4.25	7.00	7.25	9.25	8.25	2.75	5.75	4.25	6.50	7.00	5.50	4.50	7.25	0.50	4.75	-0.193848	0.054199	0.964355	-5.950000	6.090000	-1.120000	940.00	0.00	-0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.224609	0.332520	0.946777	74.690002	59.639999	-285.110016	23.00	0.00	0.00
0.11	3.50	4.25	7.25	7.50	9.25	8.25	3.00	5.50	4.75	6.75	7.25	5.75	4.50	7.25	0.50	4.75	-0.190430	0.052246	0.954102	-6.020000	6.230000	-0.980000	960.00	0.01	-0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.178223	0.375977	0.999023	74.830002	59.570000	-283.429993	23.00	0.00	0.00
0.12	3.50	4.25	7.25	7.25	9.75	8.25	3.00	5.50	4.75	6.75	7.00	5.50	4.25	7.25	0.50	4.75	-0.193848	0.059570	0.963379	-6.090000	6.440000	-1.190000	955.00	0.01	-0.07	0.00	0.00	0.00	0.00	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.124512	0.403320	1.019043	74.690002	57.189999	-280.000000	27.00	0.00	0.00
