# time	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[%]	right center of pressure Y[%]
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	5.25	0.25	0.50	1.50	4.50	7.75	1.25	0.00	1.25	-0.200684	0.134766	0.958496	-3.220000	-3.780000	2.100000	244.00	0.14	-0.31
0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.25	0.50	0.00	1.25	4.25	7.75	1.25	0.00	1.25	-0.206543	0.129883	0.957520	-3.220000	-3.990000	1.750000	233.00	0.14	-0.32
0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.25	0.75	0.25	1.75	4.50	7.75	1.50	0.00	1.25	-0.203125	0.125488	0.964355	-3.150000	-4.340000	1.680000	249.00	0.14	-0.30
0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.25	0.50	0.50	1.50	4.25	8.00	1.50	0.25	1.25	-0.201172	0.120117	0.962891	-3.010000	-4.480000	1.750000	248.00	0.14	-0.30
0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.25	0.50	0.25	1.25	4.25	8.00	1.25	0.00	1.00	-0.201172	0.124512	0.962891	-2.660000	-4.550000	2.100000	236.00	0.14	-0.32
0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.50	0.50	0.00	1.50	4.25	8.00	1.25	0.25	1.25	-0.204590	0.128418	0.962402	-2.590000	-4.480000	2.240000	244.00	0.14	-0.32
0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.50	0.50	0.25	1.25	4.25	7.75	1.25	0.00	1.00	-0.198242	0.130371	0.966309	-2.590000	-4.480000	2.380000	238.00	0.13	-0.32
0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.50	0.50	0.25	1.50	4.25	8.00	1.50	0.00	1.25	-0.198730	0.128906	0.962891	-2.450000	-4.340000	2.380000	246.00	0.14	-0.31
0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.25	5.50	0.50	0.25	1.50	4.50	7.75	1.25	0.00	1.25	-0.194336	0.132812	0.960938	-2.520000	-4.270000	2.310000	245.00	0.14	-0.31
0.09	0.00	0.00	0.25	0.00	0.00	0.00	0.25	5.50	0.50	0.50	1.25	4.25	8.00	1.25	0.00	1.00	-0.203613	0.127930	0.963379	-2.590000	-4.130000	2.170000	245.00	0.13	-0.31
